date,key,value
03/01/15,Chris Christie,0.673167134
03/08/15,Chris Christie,0.601745626
03/15/15,Chris Christie,0.474861105
03/22/15,Chris Christie,0.534523837
03/29/15,Chris Christie,0.534210926
04/05/15,Chris Christie,0.541650704
04/12/15,Chris Christie,1.541727341
04/19/15,Chris Christie,1.094372843
04/26/15,Chris Christie,0.933288665
05/03/15,Chris Christie,0.805966283
05/10/15,Chris Christie,0.99920797
05/17/15,Chris Christie,0.698611135
05/24/15,Chris Christie,0.644998553
05/31/15,Chris Christie,1.757901911
06/07/15,Chris Christie,1.704818415
06/14/15,Chris Christie,1.148715489
06/21/15,Chris Christie,1.015764593
06/28/15,Chris Christie,4.830850444
07/05/15,Chris Christie,1.251802309
07/12/15,Chris Christie,0.767392668
07/19/15,Chris Christie,0.831881296
07/26/15,Chris Christie,0.977799279
08/02/15,Chris Christie,4.357888861
08/09/15,Chris Christie,1.370734852
08/16/15,Chris Christie,0.866980588
08/23/15,Chris Christie,1.076855416
08/30/15,Chris Christie,1.386507488
09/06/15,Chris Christie,0.857952795
09/13/15,Chris Christie,2.919204015
09/20/15,Chris Christie,1.313622724
09/27/15,Chris Christie,1.150911174
10/04/15,Chris Christie,0.703503796
10/11/15,Chris Christie,0.663481002
10/18/15,Chris Christie,0.656611963
10/25/15,Chris Christie,2.29943145
11/01/15,Chris Christie,2.091677125
11/08/15,Chris Christie,1.737782384
11/15/15,Chris Christie,1.150046863
11/22/15,Chris Christie,0.691168987
11/29/15,Chris Christie,1.010700941
12/06/15,Chris Christie,0.784690284
12/13/15,Chris Christie,2.279542053
12/20/15,Chris Christie,1.091243644
12/27/15,Chris Christie,0.735563546
01/03/16,Chris Christie,0.99487151
01/10/16,Chris Christie,1.692251569
01/17/16,Chris Christie,1.769442201
01/24/16,Chris Christie,2.717352769
01/31/16,Chris Christie,2.31870881
02/07/16,Chris Christie,9.290715356
02/14/16,Chris Christie,1.659933546
02/21/16,Chris Christie,4.931504724
02/28/16,Chris Christie,10.97969575
03/06/16,Chris Christie,2.198689273
03/13/16,Chris Christie,1.83785894
03/20/16,Chris Christie,0.887464193
03/27/16,Chris Christie,1.063652666
04/03/16,Chris Christie,1.528212634
12/28/14,Ted Cruz,0.372346773
01/04/15,Ted Cruz,0.390496536
01/11/15,Ted Cruz,1.361882837
01/18/15,Ted Cruz,1.016223018
01/25/15,Ted Cruz,0.930026535
02/01/15,Ted Cruz,0.528189624
02/08/15,Ted Cruz,0.567377093
02/15/15,Ted Cruz,0.454698785
02/22/15,Ted Cruz,0.781366383
03/01/15,Ted Cruz,0.597613489
03/08/15,Ted Cruz,0.689624937
03/15/15,Ted Cruz,1.390334749
03/22/15,Ted Cruz,29.85813371
03/29/15,Ted Cruz,3.726881561
04/05/15,Ted Cruz,2.823340704
04/12/15,Ted Cruz,3.796443112
04/19/15,Ted Cruz,2.158669834
04/26/15,Ted Cruz,1.767461243
05/03/15,Ted Cruz,1.313764597
05/10/15,Ted Cruz,1.409803542
05/17/15,Ted Cruz,1.287702479
05/24/15,Ted Cruz,1.486373074
05/31/15,Ted Cruz,2.086996706
06/07/15,Ted Cruz,1.102259428
06/14/15,Ted Cruz,0.922831202
06/21/15,Ted Cruz,1.637785091
06/28/15,Ted Cruz,3.031054371
07/05/15,Ted Cruz,1.851945022
07/12/15,Ted Cruz,1.480098179
07/19/15,Ted Cruz,2.179135906
07/26/15,Ted Cruz,2.079534879
08/02/15,Ted Cruz,6.435516247
08/09/15,Ted Cruz,3.241792746
08/16/15,Ted Cruz,2.731748365
08/23/15,Ted Cruz,2.469483763
08/30/15,Ted Cruz,1.925724253
09/06/15,Ted Cruz,2.259702508
09/13/15,Ted Cruz,4.769713527
09/20/15,Ted Cruz,3.899941965
09/27/15,Ted Cruz,2.424666719
10/04/15,Ted Cruz,1.664464806
10/11/15,Ted Cruz,1.544543808
10/18/15,Ted Cruz,1.728175399
10/25/15,Ted Cruz,5.870828789
11/01/15,Ted Cruz,2.979264529
11/08/15,Ted Cruz,4.894900443
11/15/15,Ted Cruz,4.228906086
11/22/15,Ted Cruz,3.552511555
11/29/15,Ted Cruz,4.629523805
12/06/15,Ted Cruz,6.406597233
12/13/15,Ted Cruz,13.91538629
12/20/15,Ted Cruz,9.963098698
12/27/15,Ted Cruz,4.406837644
01/03/16,Ted Cruz,8.926017285
01/10/16,Ted Cruz,15.7437485
01/17/16,Ted Cruz,12.23712934
01/24/16,Ted Cruz,13.36352969
01/31/16,Ted Cruz,36.50752754
02/07/16,Ted Cruz,20.00980979
02/14/16,Ted Cruz,21.08025192
02/21/16,Ted Cruz,22.98967637
02/28/16,Ted Cruz,34.62102546
03/06/16,Ted Cruz,29.48334388
03/13/16,Ted Cruz,23.63922548
03/20/16,Ted Cruz,41.91320867
03/27/16,Ted Cruz,26.07697401
04/03/16,Ted Cruz,19.19135025
12/28/14,Carly Fiorina,0
01/04/15,Carly Fiorina,0.238374547
01/11/15,Carly Fiorina,0.284796957
01/18/15,Carly Fiorina,0.179428438
01/25/15,Carly Fiorina,0.286058694
02/01/15,Carly Fiorina,0.271218438
02/08/15,Carly Fiorina,0.133542994
02/15/15,Carly Fiorina,0.311282408
02/22/15,Carly Fiorina,0.714704128
03/01/15,Carly Fiorina,0.344885445
03/08/15,Carly Fiorina,0.286970255
03/15/15,Carly Fiorina,0.251415994
03/22/15,Carly Fiorina,0.20562849
03/29/15,Carly Fiorina,1.284784564
04/05/15,Carly Fiorina,0.551448683
04/12/15,Carly Fiorina,0.945281799
04/19/15,Carly Fiorina,0.978920606
04/26/15,Carly Fiorina,0.40361291
05/03/15,Carly Fiorina,6.039979135
05/10/15,Carly Fiorina,1.213316718
05/17/15,Carly Fiorina,0.513447673
05/24/15,Carly Fiorina,1.048248063
05/31/15,Carly Fiorina,0.748918349
06/07/15,Carly Fiorina,0.892145667
06/14/15,Carly Fiorina,0.911228864
06/21/15,Carly Fiorina,0.961220226
06/28/15,Carly Fiorina,0.597697098
07/05/15,Carly Fiorina,0.547031036
07/12/15,Carly Fiorina,0.69416385
07/19/15,Carly Fiorina,0.84356392
07/26/15,Carly Fiorina,0.773620938
08/02/15,Carly Fiorina,11.13485148
08/09/15,Carly Fiorina,7.314332503
08/16/15,Carly Fiorina,2.964789734
08/23/15,Carly Fiorina,1.709794722
08/30/15,Carly Fiorina,2.016546496
09/06/15,Carly Fiorina,5.506724084
09/13/15,Carly Fiorina,24.81512228
09/20/15,Carly Fiorina,11.30043015
09/27/15,Carly Fiorina,4.215614788
10/04/15,Carly Fiorina,2.154218023
10/11/15,Carly Fiorina,1.762991634
10/18/15,Carly Fiorina,1.260568697
10/25/15,Carly Fiorina,3.163400968
11/01/15,Carly Fiorina,3.157200025
11/08/15,Carly Fiorina,3.377818981
11/15/15,Carly Fiorina,1.060841489
11/22/15,Carly Fiorina,0.797607736
11/29/15,Carly Fiorina,1.325587487
12/06/15,Carly Fiorina,0.99933329
12/13/15,Carly Fiorina,3.598576788
12/20/15,Carly Fiorina,1.199687837
12/27/15,Carly Fiorina,1.189144852
01/03/16,Carly Fiorina,0.97728639
01/10/16,Carly Fiorina,1.646355159
01/17/16,Carly Fiorina,1.13650413
01/24/16,Carly Fiorina,1.986976267
01/31/16,Carly Fiorina,2.470115357
02/07/16,Carly Fiorina,4.235170047
02/14/16,Carly Fiorina,0.804712936
02/21/16,Carly Fiorina,0.771315568
02/28/16,Carly Fiorina,0.577764918
03/06/16,Carly Fiorina,1.276282814
03/13/16,Carly Fiorina,0.731174031
03/20/16,Carly Fiorina,0.414699275
