Week,Candidate,Value
Dec 28 2014,Lincoln Chafee,0
Jan 04 2015,Lincoln Chafee,0
Jan 11 2015,Lincoln Chafee,0
Jan 18 2015,Lincoln Chafee,0
Jan 25 2015,Lincoln Chafee,0
Feb 01 2015,Lincoln Chafee,0
Feb 08 2015,Lincoln Chafee,0
Feb 15 2015,Lincoln Chafee,0
Feb 22 2015,Lincoln Chafee,0
Mar 01 2015,Lincoln Chafee,0
Mar 08 2015,Lincoln Chafee,0
Mar 15 2015,Lincoln Chafee,0
Mar 22 2015,Lincoln Chafee,0
Mar 29 2015,Lincoln Chafee,0
Apr 05 2015,Lincoln Chafee,0.358428713
Apr 12 2015,Lincoln Chafee,0.340812939
Apr 19 2015,Lincoln Chafee,0.144925016
Apr 26 2015,Lincoln Chafee,0.153471815
May 03 2015,Lincoln Chafee,0.117310966
May 10 2015,Lincoln Chafee,0.103863223
May 17 2015,Lincoln Chafee,0.109354672
May 24 2015,Lincoln Chafee,0.114846116
May 31 2015,Lincoln Chafee,0.825605072
Jun 07 2015,Lincoln Chafee,0.247420072
Jun 14 2015,Lincoln Chafee,0.164262107
Jun 21 2015,Lincoln Chafee,0.175916033
Jun 28 2015,Lincoln Chafee,0.144336969
Jul 05 2015,Lincoln Chafee,0.103203249
Jul 12 2015,Lincoln Chafee,0.141884026
Jul 19 2015,Lincoln Chafee,0.12825625
Jul 26 2015,Lincoln Chafee,0.107407582
Aug 02 2015,Lincoln Chafee,0.145514259
Aug 09 2015,Lincoln Chafee,0.148231757
Aug 16 2015,Lincoln Chafee,0.191523973
Aug 23 2015,Lincoln Chafee,0.151771208
Aug 30 2015,Lincoln Chafee,0.117491627
Sep 06 2015,Lincoln Chafee,0.12848922
Sep 13 2015,Lincoln Chafee,0.159332507
Sep 20 2015,Lincoln Chafee,0.139772397
Sep 27 2015,Lincoln Chafee,0.157518842
Oct 04 2015,Lincoln Chafee,0.191226224
Oct 11 2015,Lincoln Chafee,4.080565842
Oct 18 2015,Lincoln Chafee,1.755249972
Oct 25 2015,Lincoln Chafee,0.40932129
Nov 01 2015,Lincoln Chafee,0.19565433
Nov 08 2015,Lincoln Chafee,0.136943697
Nov 15 2015,Lincoln Chafee,0.12918198
Nov 22 2015,Lincoln Chafee,0.084951344
Nov 29 2015,Lincoln Chafee,0.084951344
Dec 06 2015,Lincoln Chafee,0.086162413
Dec 13 2015,Lincoln Chafee,0.090523045
Dec 20 2015,Lincoln Chafee,0.099607368
Dec 27 2015,Lincoln Chafee,0.09515315
Jan 03 2016,Lincoln Chafee,0.089862643
Jan 10 2016,Lincoln Chafee,0.089862643
Jan 17 2016,Lincoln Chafee,0.094850373
Jan 24 2016,Lincoln Chafee,0.093939598
Jan 31 2016,Lincoln Chafee,0.128851724
Feb 07 2016,Lincoln Chafee,0.096808855
Feb 14 2016,Lincoln Chafee,0.095304457
Feb 21 2016,Lincoln Chafee,0.085679598
Feb 28 2016,Lincoln Chafee,0.100925245
Mar 06 2016,Lincoln Chafee,0.099147104
Mar 13 2016,Lincoln Chafee,0.095092222
Mar 20 2016,Lincoln Chafee,0
Mar 27 2016,Lincoln Chafee,0
Dec 28 2014,Hillary Clinton,1.910834574
Jan 04 2015,Hillary Clinton,1.973764639
Jan 11 2015,Hillary Clinton,1.991950418
Jan 18 2015,Hillary Clinton,2.248245167
Jan 25 2015,Hillary Clinton,2.460057969
Feb 01 2015,Hillary Clinton,2.526206901
Feb 08 2015,Hillary Clinton,2.460969577
Feb 15 2015,Hillary Clinton,2.584616672
Feb 22 2015,Hillary Clinton,2.541372904
Mar 01 2015,Hillary Clinton,5.923266486
Mar 08 2015,Hillary Clinton,11.31123147
Mar 15 2015,Hillary Clinton,5.096302385
Mar 22 2015,Hillary Clinton,4.051190416
Mar 29 2015,Hillary Clinton,4.092301037
Apr 05 2015,Hillary Clinton,6.564935215
Apr 12 2015,Hillary Clinton,37.74405815
Apr 19 2015,Hillary Clinton,11.32406379
Apr 26 2015,Hillary Clinton,8.137695187
May 03 2015,Hillary Clinton,6.097218794
May 10 2015,Hillary Clinton,5.108498228
May 17 2015,Hillary Clinton,6.171134885
May 24 2015,Hillary Clinton,5.634513208
May 31 2015,Hillary Clinton,5.723779334
Jun 07 2015,Hillary Clinton,6.264621975
Jun 14 2015,Hillary Clinton,8.542085695
Jun 21 2015,Hillary Clinton,6.057339054
Jun 28 2015,Hillary Clinton,7.019580447
Jul 05 2015,Hillary Clinton,7.664306966
Jul 12 2015,Hillary Clinton,6.421152613
Jul 19 2015,Hillary Clinton,6.829248169
Jul 26 2015,Hillary Clinton,8.217447659
Aug 02 2015,Hillary Clinton,10.59906785
Aug 09 2015,Hillary Clinton,13.69249535
Aug 16 2015,Hillary Clinton,15.25226304
Aug 23 2015,Hillary Clinton,11.06709418
Aug 30 2015,Hillary Clinton,10.58027582
Sep 06 2015,Hillary Clinton,10.65855179
Sep 13 2015,Hillary Clinton,11.45301315
Sep 20 2015,Hillary Clinton,9.452810546
Sep 27 2015,Hillary Clinton,8.311665328
Oct 04 2015,Hillary Clinton,12.49307195
Oct 11 2015,Hillary Clinton,19.12752678
Oct 18 2015,Hillary Clinton,25.22487824
Oct 25 2015,Hillary Clinton,14.24400147
Nov 01 2015,Hillary Clinton,9.40921852
Nov 08 2015,Hillary Clinton,9.516339202
Nov 15 2015,Hillary Clinton,10.15892486
Nov 22 2015,Hillary Clinton,6.301015919
Nov 29 2015,Hillary Clinton,6.805599981
Dec 06 2015,Hillary Clinton,8.445023568
Dec 13 2015,Hillary Clinton,9.089094578
Dec 20 2015,Hillary Clinton,21.59074431
Dec 27 2015,Hillary Clinton,9.344036209
Jan 03 2016,Hillary Clinton,11.30326501
