Week,Candidate,Value
Jan 10 2016,Hillary Clinton,15.06841402
Jan 17 2016,Hillary Clinton,22.6950647
Jan 24 2016,Hillary Clinton,20.7257205
Jan 31 2016,Hillary Clinton,37.65330953
Feb 07 2016,Hillary Clinton,32.77722953
Feb 14 2016,Hillary Clinton,24.24003806
Feb 21 2016,Hillary Clinton,31.21676849
Feb 28 2016,Hillary Clinton,48.3077928
Mar 06 2016,Hillary Clinton,40.80936636
Mar 13 2016,Hillary Clinton,43.96375686
Mar 20 2016,Hillary Clinton,26.58631877
Mar 27 2016,Hillary Clinton,38.19428414
Dec 28 2014,Lawrence Lessig,0
Jan 04 2015,Lawrence Lessig,0
Jan 11 2015,Lawrence Lessig,0
Jan 18 2015,Lawrence Lessig,0
Jan 25 2015,Lawrence Lessig,0
Feb 01 2015,Lawrence Lessig,0
Feb 08 2015,Lawrence Lessig,0
Feb 15 2015,Lawrence Lessig,0
Feb 22 2015,Lawrence Lessig,0
Mar 01 2015,Lawrence Lessig,0
Mar 08 2015,Lawrence Lessig,0
Mar 15 2015,Lawrence Lessig,0
Mar 22 2015,Lawrence Lessig,0
Mar 29 2015,Lawrence Lessig,0
Apr 05 2015,Lawrence Lessig,0
Apr 12 2015,Lawrence Lessig,0
Apr 19 2015,Lawrence Lessig,0
Apr 26 2015,Lawrence Lessig,0
May 03 2015,Lawrence Lessig,0
May 10 2015,Lawrence Lessig,0
May 17 2015,Lawrence Lessig,0
May 24 2015,Lawrence Lessig,0
May 31 2015,Lawrence Lessig,0
Jun 07 2015,Lawrence Lessig,0
Jun 14 2015,Lawrence Lessig,0
Jun 21 2015,Lawrence Lessig,0
Jun 28 2015,Lawrence Lessig,0
Jul 05 2015,Lawrence Lessig,0
Jul 12 2015,Lawrence Lessig,0
Jul 19 2015,Lawrence Lessig,0
Jul 26 2015,Lawrence Lessig,0
Aug 02 2015,Lawrence Lessig,0
Aug 09 2015,Lawrence Lessig,0.535102799
Aug 16 2015,Lawrence Lessig,0.28224835
Aug 23 2015,Lawrence Lessig,0.218926068
Aug 30 2015,Lawrence Lessig,0.210790529
Sep 06 2015,Lawrence Lessig,0.747550804
Sep 13 2015,Lawrence Lessig,0.18160404
Sep 20 2015,Lawrence Lessig,0.185094499
Sep 27 2015,Lawrence Lessig,0.22794167
Oct 04 2015,Lawrence Lessig,0.287902663
Oct 11 2015,Lawrence Lessig,0.503663823
Oct 18 2015,Lawrence Lessig,0.349143354
Oct 25 2015,Lawrence Lessig,0.237247506
Nov 01 2015,Lawrence Lessig,0.333607939
Nov 08 2015,Lawrence Lessig,0.095274923
Nov 15 2015,Lawrence Lessig,0
Nov 22 2015,Lawrence Lessig,0
Nov 29 2015,Lawrence Lessig,0
Dec 06 2015,Lawrence Lessig,0
Dec 13 2015,Lawrence Lessig,0
Dec 20 2015,Lawrence Lessig,0
Dec 27 2015,Lawrence Lessig,0
Jan 03 2016,Lawrence Lessig,0
Jan 10 2016,Lawrence Lessig,0
Jan 17 2016,Lawrence Lessig,0
Jan 24 2016,Lawrence Lessig,0
Jan 31 2016,Lawrence Lessig,0
Feb 07 2016,Lawrence Lessig,0
Feb 14 2016,Lawrence Lessig,0.111602708
Feb 21 2016,Lawrence Lessig,0
Feb 28 2016,Lawrence Lessig,0
Mar 06 2016,Lawrence Lessig,0
Mar 13 2016,Lawrence Lessig,0
Mar 20 2016,Lawrence Lessig,0
Mar 27 2016,Lawrence Lessig,0
Dec 28 2014,Martin O'Malley,0
Jan 04 2015,Martin O'Malley,0
Jan 11 2015,Martin O'Malley,0
Jan 18 2015,Martin O'Malley,0
Jan 25 2015,Martin O'Malley,0
Feb 01 2015,Martin O'Malley,0
Feb 08 2015,Martin O'Malley,0
Feb 15 2015,Martin O'Malley,0
Feb 22 2015,Martin O'Malley,0
Mar 01 2015,Martin O'Malley,0.106906178
Mar 08 2015,Martin O'Malley,0.128577613
Mar 15 2015,Martin O'Malley,0.122866576
Mar 22 2015,Martin O'Malley,0.122866576
Mar 29 2015,Martin O'Malley,0.122866576
Apr 05 2015,Martin O'Malley,0.182005275
Apr 12 2015,Martin O'Malley,0.241143974
Apr 19 2015,Martin O'Malley,0.175723516
Apr 26 2015,Martin O'Malley,0.302523107
May 03 2015,Martin O'Malley,0.095290954
May 10 2015,Martin O'Malley,0.172043113
May 17 2015,Martin O'Malley,0.248795266
May 24 2015,Martin O'Malley,0.325547425
May 31 2015,Martin O'Malley,0.354349978
Jun 07 2015,Martin O'Malley,0.111129091
Jun 14 2015,Martin O'Malley,0.111129091
Jun 21 2015,Martin O'Malley,0.107945325
Jun 28 2015,Martin O'Malley,0.107945325
Jul 05 2015,Martin O'Malley,0.107945325
Jul 12 2015,Martin O'Malley,0.107945325
Jul 19 2015,Martin O'Malley,0.265376049
Jul 26 2015,Martin O'Malley,0.101796526
Aug 02 2015,Martin O'Malley,0.102564754
Aug 09 2015,Martin O'Malley,0.103332977
Aug 16 2015,Martin O'Malley,0.114404139
Aug 23 2015,Martin O'Malley,0.104811837
Aug 30 2015,Martin O'Malley,0.090983404
Sep 06 2015,Martin O'Malley,0.098203647
Sep 13 2015,Martin O'Malley,0.102426077
Sep 20 2015,Martin O'Malley,0.096726917
Sep 27 2015,Martin O'Malley,0.106125574
Oct 04 2015,Martin O'Malley,0.115524231
Oct 11 2015,Martin O'Malley,1.162488333
Oct 18 2015,Martin O'Malley,0.30023185
Oct 25 2015,Martin O'Malley,0.191455224
Nov 01 2015,Martin O'Malley,0.192216359
Nov 08 2015,Martin O'Malley,0.182151354
Nov 15 2015,Martin O'Malley,0.505430152
Nov 22 2015,Martin O'Malley,0.100558167
Nov 29 2015,Martin O'Malley,0.118625591
Dec 06 2015,Martin O'Malley,0.152774826
Dec 13 2015,Martin O'Malley,0.148052129
Dec 20 2015,Martin O'Malley,0.543032866
Dec 27 2015,Martin O'Malley,0.116442584
Jan 03 2016,Martin O'Malley,0.142625119
Jan 10 2016,Martin O'Malley,0.172045766
Jan 17 2016,Martin O'Malley,0.922220657
Jan 24 2016,Martin O'Malley,0.504930743
Jan 31 2016,Martin O'Malley,0.945212204
Feb 07 2016,Martin O'Malley,0.188138018
Feb 14 2016,Martin O'Malley,0.101700262
Feb 21 2016,Martin O'Malley,0.109129329
Feb 28 2016,Martin O'Malley,0.148080471
Mar 06 2016,Martin O'Malley,0.090613942
Mar 13 2016,Martin O'Malley,0.103899111
Mar 20 2016,Martin O'Malley,0
Mar 27 2016,Martin O'Malley,0
Dec 28 2014,Bernie Sanders,0.628511183
Jan 04 2015,Bernie Sanders,0.639767699
Jan 11 2015,Bernie Sanders,0.695136819
Jan 18 2015,Bernie Sanders,0.649232961
Jan 25 2015,Bernie Sanders,0.708527884
Feb 01 2015,Bernie Sanders,0.669054657
Feb 08 2015,Bernie Sanders,0.77472538
Feb 15 2015,Bernie Sanders,0.655604864
Feb 22 2015,Bernie Sanders,0.701539653
Mar 01 2015,Bernie Sanders,0.726648934
Mar 08 2015,Bernie Sanders,0.747551557
Mar 15 2015,Bernie Sanders,0.6951907
Mar 22 2015,Bernie Sanders,0.750111892
Mar 29 2015,Bernie Sanders,0.704437786
Apr 05 2015,Bernie Sanders,0.774230355
Apr 12 2015,Bernie Sanders,1.16782872
Apr 19 2015,Bernie Sanders,0.973639902
Apr 26 2015,Bernie Sanders,9.206528004
May 03 2015,Bernie Sanders,5.614186924
May 10 2015,Bernie Sanders,2.952405086
May 17 2015,Bernie Sanders,3.518498418
May 24 2015,Bernie Sanders,5.434282758
May 31 2015,Bernie Sanders,4.977452523
Jun 07 2015,Bernie Sanders,4.181136684
Jun 14 2015,Bernie Sanders,7.278408426
Jun 21 2015,Bernie Sanders,6.899901363
Jun 28 2015,Bernie Sanders,11.28221112
Jul 05 2015,Bernie Sanders,11.05071971
Jul 12 2015,Bernie Sanders,8.484846036
Jul 19 2015,Bernie Sanders,9.180948384
Jul 26 2015,Bernie Sanders,8.897302763
Aug 02 2015,Bernie Sanders,10.71540971
Aug 09 2015,Bernie Sanders,28.44629512
Aug 16 2015,Bernie Sanders,14.24995444
Aug 23 2015,Bernie Sanders,11.08068613
Aug 30 2015,Bernie Sanders,12.75025288
Sep 06 2015,Bernie Sanders,12.92662535
Sep 13 2015,Bernie Sanders,20.19048503
Sep 20 2015,Bernie Sanders,13.98398279
Sep 27 2015,Bernie Sanders,10.00065931
Oct 04 2015,Bernie Sanders,10.15239009
Oct 11 2015,Bernie Sanders,33.11391021
Oct 18 2015,Bernie Sanders,20.10393821
Oct 25 2015,Bernie Sanders,11.73648328
Nov 01 2015,Bernie Sanders,11.38842559
Nov 08 2015,Bernie Sanders,10.99276768
Nov 15 2015,Bernie Sanders,12.70693104
Nov 22 2015,Bernie Sanders,8.423957763
Nov 29 2015,Bernie Sanders,7.20621854
Dec 06 2015,Bernie Sanders,10.43799889
Dec 13 2015,Bernie Sanders,13.47741781
Dec 20 2015,Bernie Sanders,15.21689795
Dec 27 2015,Bernie Sanders,9.549258419
Jan 03 2016,Bernie Sanders,11.04498496
Jan 10 2016,Bernie Sanders,19.83237807
Jan 17 2016,Bernie Sanders,33.95186029
Jan 24 2016,Bernie Sanders,32.63701949
Jan 31 2016,Bernie Sanders,61.25924325
Feb 07 2016,Bernie Sanders,71.73357568
Feb 14 2016,Bernie Sanders,37.49289191
Feb 21 2016,Bernie Sanders,40.27340196
Feb 28 2016,Bernie Sanders,54.81247157
Mar 06 2016,Bernie Sanders,60.96195873
Mar 13 2016,Bernie Sanders,55.58017248
Mar 20 2016,Bernie Sanders,39.863077
Mar 27 2016,Bernie Sanders,100
Dec 28 2014,Jim Webb,0
Jan 04 2015,Jim Webb,0.093540452
Jan 11 2015,Jim Webb,0.099414397
Jan 18 2015,Jim Webb,0.105288347
Jan 25 2015,Jim Webb,0.111162292
Feb 01 2015,Jim Webb,0.1295333
Feb 08 2015,Jim Webb,0.147904309
Feb 15 2015,Jim Webb,0.166275318
Feb 22 2015,Jim Webb,0.184646326
Mar 01 2015,Jim Webb,0.094792492
Mar 08 2015,Jim Webb,0.171451749
Mar 15 2015,Jim Webb,0.173424846
Mar 22 2015,Jim Webb,0.132970707
Mar 29 2015,Jim Webb,0.131474155
Apr 05 2015,Jim Webb,0.131474155
Apr 12 2015,Jim Webb,0.267944494
Apr 19 2015,Jim Webb,0.155952732
Apr 26 2015,Jim Webb,0.171344442
May 03 2015,Jim Webb,0.118672807
May 10 2015,Jim Webb,0.10896659
May 17 2015,Jim Webb,0.10896659
May 24 2015,Jim Webb,0.10898091
May 31 2015,Jim Webb,0.125470831
Jun 07 2015,Jim Webb,0.148008159
Jun 14 2015,Jim Webb,0.170545493
Jun 21 2015,Jim Webb,0.193082821
Jun 28 2015,Jim Webb,1.295286255
Jul 05 2015,Jim Webb,0.373818847
Jul 12 2015,Jim Webb,0.357609682
Jul 19 2015,Jim Webb,0.226770576
Jul 26 2015,Jim Webb,0.167700342
Aug 02 2015,Jim Webb,0.231155245
Aug 09 2015,Jim Webb,0.271772248
Aug 16 2015,Jim Webb,0.181473618
Aug 23 2015,Jim Webb,0.154159043
Aug 30 2015,Jim Webb,0.127019299
Sep 06 2015,Jim Webb,0.138786886
Sep 13 2015,Jim Webb,0.158807394
Sep 20 2015,Jim Webb,0.149344741
Sep 27 2015,Jim Webb,0.148417231
Oct 04 2015,Jim Webb,0.187616786
Oct 11 2015,Jim Webb,5.733897572
Oct 18 2015,Jim Webb,2.484015942
Oct 25 2015,Jim Webb,0.38216065
Nov 01 2015,Jim Webb,0.229103483
Nov 08 2015,Jim Webb,0.1659039
Nov 15 2015,Jim Webb,0.169227471
Nov 22 2015,Jim Webb,0.120044839
Nov 29 2015,Jim Webb,0.107795166
Dec 06 2015,Jim Webb,0.106928634
Dec 13 2015,Jim Webb,0.135517769
Dec 20 2015,Jim Webb,0.123398702
Dec 27 2015,Jim Webb,0.262517186
Jan 03 2016,Jim Webb,0.108652649
Jan 10 2016,Jim Webb,0.10321514
Jan 17 2016,Jim Webb,0.143919643
Jan 24 2016,Jim Webb,0.131020565
Jan 31 2016,Jim Webb,0.166520887
Feb 07 2016,Jim Webb,0.257798873
Feb 14 2016,Jim Webb,0.120217519
Feb 21 2016,Jim Webb,0.103392868
Feb 28 2016,Jim Webb,0.321593664
Mar 06 2016,Jim Webb,0.186456704
Mar 13 2016,Jim Webb,0.130116723
Mar 20 2016,Jim Webb,0.127867131
Mar 27 2016,Jim Webb,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
