date,Candidate,search interest (indexed 1-100),
Aug 9 2015,Ted Cruz,3.41,
Aug 10 2015,Ted Cruz,3.31,
Aug 11 2015,Ted Cruz,2.95,
Aug 12 2015,Ted Cruz,2.10,
Aug 13 2015,Ted Cruz,2.00,
Aug 14 2015,Ted Cruz,1.52,
Aug 15 2015,Ted Cruz,1.41,
Aug 16 2015,Ted Cruz,1.33,
Aug 17 2015,Ted Cruz,1.43,
Aug 18 2015,Ted Cruz,1.48,
Aug 19 2015,Ted Cruz,1.49,
Aug 20 2015,Ted Cruz,1.68,
Aug 21 2015,Ted Cruz,2.65,
Aug 22 2015,Ted Cruz,4.17,
Aug 23 2015,Ted Cruz,2.77,
Aug 24 2015,Ted Cruz,1.83,
Aug 25 2015,Ted Cruz,1.52,
Aug 26 2015,Ted Cruz,2.01,
Aug 27 2015,Ted Cruz,1.68,
Aug 28 2015,Ted Cruz,1.89,
Aug 29 2015,Ted Cruz,1.57,
Aug 30 2015,Ted Cruz,1.40,
Aug 31 2015,Ted Cruz,1.17,
Sep 1 2015,Ted Cruz,1.50,
Sep 2 2015,Ted Cruz,1.58,
Sep 3 2015,Ted Cruz,1.46,
Sep 4 2015,Ted Cruz,1.58,
Sep 5 2015,Ted Cruz,1.20,
Sep 6 2015,Ted Cruz,1.08,
Sep 7 2015,Ted Cruz,0.95,
Sep 8 2015,Ted Cruz,1.55,
Sep 9 2015,Ted Cruz,2.70,
Sep 10 2015,Ted Cruz,2.33,
Sep 11 2015,Ted Cruz,1.46,
Sep 12 2015,Ted Cruz,1.26,
Sep 13 2015,Ted Cruz,1.09,
Sep 14 2015,Ted Cruz,1.27,
Sep 15 2015,Ted Cruz,1.28,
Sep 16 2015,Ted Cruz,1.58,
Sep 17 2015,Ted Cruz,12.82,
Sep 18 2015,Ted Cruz,3.49,
Sep 19 2015,Ted Cruz,2.45,
Sep 20 2015,Ted Cruz,1.75,
Sep 21 2015,Ted Cruz,1.94,
Sep 22 2015,Ted Cruz,4.40,
Sep 23 2015,Ted Cruz,3.43,
Sep 24 2015,Ted Cruz,2.17,
Sep 25 2015,Ted Cruz,2.85,
Sep 26 2015,Ted Cruz,2.87,
Sep 27 2015,Ted Cruz,2.10,
Sep 28 2015,Ted Cruz,1.84,
Sep 29 2015,Ted Cruz,2.21,
Sep 30 2015,Ted Cruz,2.18,
Oct 1 2015,Ted Cruz,1.78,
Oct 2 2015,Ted Cruz,1.45,
Oct 3 2015,Ted Cruz,0.94,
Oct 4 2015,Ted Cruz,0.90,
Oct 5 2015,Ted Cruz,0.89,
Oct 6 2015,Ted Cruz,0.94,
Oct 7 2015,Ted Cruz,1.87,
Oct 8 2015,Ted Cruz,1.49,
Oct 9 2015,Ted Cruz,1.36,
Oct 10 2015,Ted Cruz,1.07,
Oct 11 2015,Ted Cruz,1.08,
Oct 12 2015,Ted Cruz,0.92,
Oct 13 2015,Ted Cruz,1.04,
Oct 14 2015,Ted Cruz,1.49,
Oct 15 2015,Ted Cruz,1.24,
Oct 16 2015,Ted Cruz,1.26,
Oct 17 2015,Ted Cruz,1.04,
Oct 18 2015,Ted Cruz,1.16,
Oct 19 2015,Ted Cruz,1.14,
Oct 20 2015,Ted Cruz,1.63,
Oct 21 2015,Ted Cruz,1.64,
Oct 22 2015,Ted Cruz,1.40,
Oct 23 2015,Ted Cruz,1.17,
Oct 24 2015,Ted Cruz,1.07,
Oct 25 2015,Ted Cruz,0.97,
Oct 26 2015,Ted Cruz,1.20,
Oct 27 2015,Ted Cruz,1.40,
Oct 28 2015,Ted Cruz,1.54,
Oct 29 2015,Ted Cruz,13.90,
Oct 30 2015,Ted Cruz,6.69,
Oct 31 2015,Ted Cruz,4.01,
Nov 1 2015,Ted Cruz,2.78,
Nov 2 2015,Ted Cruz,2.25,
Nov 3 2015,Ted Cruz,2.21,
Nov 4 2015,Ted Cruz,2.25,
Nov 5 2015,Ted Cruz,2.29,
Nov 6 2015,Ted Cruz,2.02,
Nov 7 2015,Ted Cruz,1.53,
Nov 8 2015,Ted Cruz,1.57,
Nov 9 2015,Ted Cruz,1.56,
Nov 10 2015,Ted Cruz,2.01,
Nov 11 2015,Ted Cruz,9.71,
Nov 12 2015,Ted Cruz,4.12,
Nov 13 2015,Ted Cruz,3.01,
Nov 14 2015,Ted Cruz,2.85,
Nov 15 2015,Ted Cruz,2.31,
Nov 16 2015,Ted Cruz,2.63,
Nov 17 2015,Ted Cruz,3.01,
Nov 18 2015,Ted Cruz,4.19,
Nov 19 2015,Ted Cruz,4.30,
Nov 20 2015,Ted Cruz,3.24,
Nov 21 2015,Ted Cruz,2.34,
Nov 22 2015,Ted Cruz,2.14,
Nov 23 2015,Ted Cruz,2.09,
Nov 24 2015,Ted Cruz,3.37,
Nov 25 2015,Ted Cruz,3.12,
Nov 26 2015,Ted Cruz,2.40,
Nov 27 2015,Ted Cruz,2.31,
Nov 28 2015,Ted Cruz,2.76,
Nov 29 2015,Ted Cruz,2.57,
Nov 30 2015,Ted Cruz,2.74,
Dec 1 2015,Ted Cruz,3.57,
Dec 2 2015,Ted Cruz,4.16,
Dec 3 2015,Ted Cruz,3.43,
Dec 4 2015,Ted Cruz,4.01,
Dec 5 2015,Ted Cruz,4.04,
Dec 6 2015,Ted Cruz,3.43,
Dec 7 2015,Ted Cruz,3.86,
Dec 8 2015,Ted Cruz,5.36,
Dec 9 2015,Ted Cruz,5.32,
Dec 10 2015,Ted Cruz,4.98,
Dec 11 2015,Ted Cruz,4.99,
Dec 12 2015,Ted Cruz,5.33,
Dec 13 2015,Ted Cruz,10.55,
Dec 14 2015,Ted Cruz,9.80,
Dec 15 2015,Ted Cruz,9.19,
Dec 16 2015,Ted Cruz,20.62,
Dec 17 2015,Ted Cruz,9.01,
Dec 18 2015,Ted Cruz,6.03,
Dec 19 2015,Ted Cruz,5.76,
Dec 20 2015,Ted Cruz,6.03,
Dec 21 2015,Ted Cruz,4.30,
Dec 22 2015,Ted Cruz,6.06,
Dec 23 2015,Ted Cruz,15.79,
Dec 24 2015,Ted Cruz,9.85,
Dec 25 2015,Ted Cruz,4.83,
Dec 26 2015,Ted Cruz,3.55,
Dec 27 2015,Ted Cruz,3.36,
Dec 28 2015,Ted Cruz,3.03,
Dec 29 2015,Ted Cruz,3.80,
Dec 30 2015,Ted Cruz,3.54,
Dec 31 2015,Ted Cruz,3.25,
Jan 1 2016,Ted Cruz,3.10,
Jan 2 2016,Ted Cruz,2.79,
Jan 3 2016,Ted Cruz,2.92,
Jan 4 2016,Ted Cruz,2.96,
Jan 5 2016,Ted Cruz,5.01,
Jan 6 2016,Ted Cruz,10.36,
Jan 7 2016,Ted Cruz,10.54,
Jan 8 2016,Ted Cruz,7.11,
Jan 9 2016,Ted Cruz,6.15,
Jan 10 2016,Ted Cruz,6.43,
Jan 11 2016,Ted Cruz,5.00,
Jan 12 2016,Ted Cruz,6.77,
Jan 13 2016,Ted Cruz,9.91,
Jan 14 2016,Ted Cruz,10.81,
Jan 15 2016,Ted Cruz,25.99,
Jan 16 2016,Ted Cruz,18.04,
Jan 17 2016,Ted Cruz,13.17,
Jan 18 2016,Ted Cruz,10.00,
Jan 19 2016,Ted Cruz,9.63,
Jan 20 2016,Ted Cruz,8.58,
Jan 21 2016,Ted Cruz,8.37,
Jan 22 2016,Ted Cruz,8.29,
Jan 23 2016,Ted Cruz,6.97,
Jan 24 2016,Ted Cruz,7.97,
Jan 25 2016,Ted Cruz,7.56,
Jan 26 2016,Ted Cruz,9.72,
Jan 27 2016,Ted Cruz,9.14,
Jan 28 2016,Ted Cruz,9.06,
Jan 29 2016,Ted Cruz,15.86,
Jan 30 2016,Ted Cruz,9.48,
Jan 31 2016,Ted Cruz,11.24,
Feb 1 2016,Ted Cruz,13.02,
Feb 2 2016,Ted Cruz,77.95,
Feb 3 2016,Ted Cruz,30.06,
Feb 4 2016,Ted Cruz,21.09,
Feb 5 2016,Ted Cruz,14.47,
Feb 6 2016,Ted Cruz,13.62,
Feb 7 2016,Ted Cruz,23.49,
Feb 8 2016,Ted Cruz,10.61,
Feb 9 2016,Ted Cruz,13.75,
Feb 10 2016,Ted Cruz,15.33,
Feb 11 2016,Ted Cruz,10.32,
Feb 12 2016,Ted Cruz,15.39,
Feb 13 2016,Ted Cruz,17.84,
Feb 14 2016,Ted Cruz,26.46,
Feb 15 2016,Ted Cruz,12.82,
Feb 16 2016,Ted Cruz,12.34,
Feb 17 2016,Ted Cruz,13.38,
Feb 18 2016,Ted Cruz,17.75,
Feb 19 2016,Ted Cruz,14.88,
Feb 20 2016,Ted Cruz,15.42,
Feb 21 2016,Ted Cruz,22.27,
Feb 22 2016,Ted Cruz,13.76,
Feb 23 2016,Ted Cruz,13.38,
Feb 24 2016,Ted Cruz,14.82,
Feb 25 2016,Ted Cruz,13.06,
Feb 26 2016,Ted Cruz,25.51,
Feb 27 2016,Ted Cruz,19.13,
Feb 28 2016,Ted Cruz,17.45,
Feb 29 2016,Ted Cruz,14.30,
Mar 1 2016,Ted Cruz,23.88,
Mar 2 2016,Ted Cruz,38.79,
Mar 3 2016,Ted Cruz,18.85,
Mar 4 2016,Ted Cruz,38.95,
Mar 5 2016,Ted Cruz,26.86,
Mar 6 2016,Ted Cruz,37.49,
Mar 7 2016,Ted Cruz,22.50,
Mar 8 2016,Ted Cruz,19.64,
Mar 9 2016,Ted Cruz,21.15,
Mar 10 2016,Ted Cruz,17.12,
Mar 11 2016,Ted Cruz,22.03,
Mar 12 2016,Ted Cruz,16.77,
Mar 13 2016,Ted Cruz,15.68,
Mar 14 2016,Ted Cruz,14.07,
Mar 15 2016,Ted Cruz,18.45,
Mar 16 2016,Ted Cruz,28.92,
Mar 17 2016,Ted Cruz,16.17,
Mar 18 2016,Ted Cruz,14.00,
Mar 19 2016,Ted Cruz,13.62,
Mar 20 2016,Ted Cruz,11.78,
Mar 21 2016,Ted Cruz,11.12,
Jan 1 2015,Carly Fiorina,0.00,
Jan 2 2015,Carly Fiorina,0.00,
Jan 3 2015,Carly Fiorina,0.00,
Jan 4 2015,Carly Fiorina,0.00,
Jan 5 2015,Carly Fiorina,0.00,
Jan 6 2015,Carly Fiorina,0.00,
Jan 7 2015,Carly Fiorina,0.00,
Jan 8 2015,Carly Fiorina,0.00,
Jan 9 2015,Carly Fiorina,0.00,
Jan 10 2015,Carly Fiorina,0.80,
Jan 11 2015,Carly Fiorina,0.00,
Jan 12 2015,Carly Fiorina,0.00,
Jan 13 2015,Carly Fiorina,0.00,
Jan 14 2015,Carly Fiorina,0.00,
Jan 15 2015,Carly Fiorina,0.00,
Jan 16 2015,Carly Fiorina,0.00,
Jan 17 2015,Carly Fiorina,0.00,
Jan 18 2015,Carly Fiorina,0.00,
Jan 19 2015,Carly Fiorina,0.00,
Jan 20 2015,Carly Fiorina,0.00,
Jan 21 2015,Carly Fiorina,0.00,
Jan 22 2015,Carly Fiorina,0.00,
Jan 23 2015,Carly Fiorina,0.00,
Jan 24 2015,Carly Fiorina,0.00,
Jan 25 2015,Carly Fiorina,0.00,
Jan 26 2015,Carly Fiorina,0.00,
Jan 27 2015,Carly Fiorina,0.00,
Jan 28 2015,Carly Fiorina,0.00,
Jan 29 2015,Carly Fiorina,0.00,
Jan 30 2015,Carly Fiorina,0.00,
Jan 31 2015,Carly Fiorina,0.00,
Feb 1 2015,Carly Fiorina,0.00,
Feb 2 2015,Carly Fiorina,0.00,
Feb 3 2015,Carly Fiorina,0.51,
Feb 4 2015,Carly Fiorina,0.00,
Feb 5 2015,Carly Fiorina,0.00,
Feb 6 2015,Carly Fiorina,0.00,
Feb 7 2015,Carly Fiorina,0.00,
Feb 8 2015,Carly Fiorina,0.00,
Feb 9 2015,Carly Fiorina,0.00,
Feb 10 2015,Carly Fiorina,0.00,
Feb 11 2015,Carly Fiorina,0.00,
Feb 12 2015,Carly Fiorina,0.00,
Feb 13 2015,Carly Fiorina,0.00,
Feb 14 2015,Carly Fiorina,0.00,
Feb 15 2015,Carly Fiorina,0.00,
Feb 16 2015,Carly Fiorina,0.00,
Feb 17 2015,Carly Fiorina,0.00,
Feb 18 2015,Carly Fiorina,0.00,
Feb 19 2015,Carly Fiorina,0.00,
Feb 20 2015,Carly Fiorina,0.00,
Feb 21 2015,Carly Fiorina,0.00,
Feb 22 2015,Carly Fiorina,0.00,
Feb 23 2015,Carly Fiorina,0.00,
Feb 24 2015,Carly Fiorina,0.00,
Feb 25 2015,Carly Fiorina,0.51,
Feb 26 2015,Carly Fiorina,0.57,
Feb 27 2015,Carly Fiorina,1.05,
Feb 28 2015,Carly Fiorina,1.30,
Mar 1 2015,Carly Fiorina,0.54,
Mar 2 2015,Carly Fiorina,0.00,
Mar 3 2015,Carly Fiorina,0.00,
Mar 4 2015,Carly Fiorina,0.00,
Mar 5 2015,Carly Fiorina,0.00,
Mar 6 2015,Carly Fiorina,0.00,
Mar 7 2015,Carly Fiorina,0.00,
Mar 8 2015,Carly Fiorina,0.00,
Mar 9 2015,Carly Fiorina,0.00,
Mar 10 2015,Carly Fiorina,0.00,
Mar 11 2015,Carly Fiorina,0.00,
Mar 12 2015,Carly Fiorina,0.00,
Mar 13 2015,Carly Fiorina,0.64,
Mar 14 2015,Carly Fiorina,0.45,
Mar 15 2015,Carly Fiorina,0.45,
Mar 16 2015,Carly Fiorina,0.45,
Mar 17 2015,Carly Fiorina,0.45,
Mar 18 2015,Carly Fiorina,0.45,
Mar 19 2015,Carly Fiorina,0.00,
Mar 20 2015,Carly Fiorina,0.00,
Mar 21 2015,Carly Fiorina,0.00,
Mar 22 2015,Carly Fiorina,0.00,
Mar 23 2015,Carly Fiorina,0.00,
Mar 24 2015,Carly Fiorina,0.00,
Mar 25 2015,Carly Fiorina,0.00,
Mar 26 2015,Carly Fiorina,0.00,
Mar 27 2015,Carly Fiorina,0.00,
Mar 28 2015,Carly Fiorina,0.00,
Mar 29 2015,Carly Fiorina,2.44,
Mar 30 2015,Carly Fiorina,2.38,
Mar 31 2015,Carly Fiorina,0.61,
Apr 1 2015,Carly Fiorina,0.45,
Apr 2 2015,Carly Fiorina,0.45,
Apr 3 2015,Carly Fiorina,0.49,
Apr 4 2015,Carly Fiorina,0.52,
Apr 5 2015,Carly Fiorina,0.56,
Apr 6 2015,Carly Fiorina,0.59,
Apr 7 2015,Carly Fiorina,0.63,
Apr 8 2015,Carly Fiorina,0.54,
Apr 9 2015,Carly Fiorina,0.46,
Apr 10 2015,Carly Fiorina,0.62,
Apr 11 2015,Carly Fiorina,0.79,
Apr 12 2015,Carly Fiorina,0.95,
Apr 13 2015,Carly Fiorina,1.12,
Apr 14 2015,Carly Fiorina,1.00,
Apr 15 2015,Carly Fiorina,0.49,
Apr 16 2015,Carly Fiorina,0.54,
Apr 17 2015,Carly Fiorina,0.70,
Apr 18 2015,Carly Fiorina,0.86,
Apr 19 2015,Carly Fiorina,0.74,
Apr 20 2015,Carly Fiorina,0.47,
Apr 21 2015,Carly Fiorina,0.87,
Apr 22 2015,Carly Fiorina,1.26,
Apr 23 2015,Carly Fiorina,1.05,
Apr 24 2015,Carly Fiorina,0.69,
Apr 25 2015,Carly Fiorina,0.00,
Apr 26 2015,Carly Fiorina,0.00,
Apr 27 2015,Carly Fiorina,0.00,
Apr 28 2015,Carly Fiorina,0.00,
Apr 29 2015,Carly Fiorina,0.00,
Apr 30 2015,Carly Fiorina,0.00,
May 1 2015,Carly Fiorina,0.00,
May 2 2015,Carly Fiorina,0.00,
May 3 2015,Carly Fiorina,0.73,
May 4 2015,Carly Fiorina,12.97,
May 5 2015,Carly Fiorina,7.15,
May 6 2015,Carly Fiorina,3.30,
May 7 2015,Carly Fiorina,2.13,
May 8 2015,Carly Fiorina,1.20,
May 9 2015,Carly Fiorina,1.28,
May 10 2015,Carly Fiorina,1.99,
May 11 2015,Carly Fiorina,1.34,
May 12 2015,Carly Fiorina,0.77,
May 13 2015,Carly Fiorina,0.69,
May 14 2015,Carly Fiorina,0.65,
May 15 2015,Carly Fiorina,0.50,
May 16 2015,Carly Fiorina,0.50,
May 17 2015,Carly Fiorina,0.50,
May 18 2015,Carly Fiorina,0.50,
May 19 2015,Carly Fiorina,0.00,
May 20 2015,Carly Fiorina,0.00,
May 21 2015,Carly Fiorina,0.00,
May 22 2015,Carly Fiorina,0.00,
May 23 2015,Carly Fiorina,0.00,
May 24 2015,Carly Fiorina,0.00,
May 25 2015,Carly Fiorina,0.00,
May 26 2015,Carly Fiorina,0.50,
May 27 2015,Carly Fiorina,0.98,
May 28 2015,Carly Fiorina,1.59,
May 29 2015,Carly Fiorina,0.90,
May 30 2015,Carly Fiorina,0.75,
May 31 2015,Carly Fiorina,1.31,
Jun 1 2015,Carly Fiorina,0.68,
Jun 2 2015,Carly Fiorina,0.57,
Jun 3 2015,Carly Fiorina,0.57,
Jun 4 2015,Carly Fiorina,0.57,
Jun 5 2015,Carly Fiorina,0.49,
Jun 6 2015,Carly Fiorina,0.49,
Jun 7 2015,Carly Fiorina,0.49,
Jun 8 2015,Carly Fiorina,0.49,
Jun 9 2015,Carly Fiorina,0.49,
Jun 10 2015,Carly Fiorina,0.74,
Jun 11 2015,Carly Fiorina,0.99,
Jun 12 2015,Carly Fiorina,1.28,
Jun 13 2015,Carly Fiorina,0.83,
Jun 14 2015,Carly Fiorina,0.60,
Jun 15 2015,Carly Fiorina,0.60,
Jun 16 2015,Carly Fiorina,1.11,
Jun 17 2015,Carly Fiorina,0.80,
Jun 18 2015,Carly Fiorina,0.72,
Jun 19 2015,Carly Fiorina,0.52,
Jun 20 2015,Carly Fiorina,0.56,
Jun 21 2015,Carly Fiorina,0.61,
Jun 22 2015,Carly Fiorina,0.65,
Jun 23 2015,Carly Fiorina,0.50,
Jun 24 2015,Carly Fiorina,0.51,
Jun 25 2015,Carly Fiorina,0.52,
Jun 26 2015,Carly Fiorina,2.25,
Jun 27 2015,Carly Fiorina,0.68,
Jun 28 2015,Carly Fiorina,0.61,
Jun 29 2015,Carly Fiorina,0.48,
Jun 30 2015,Carly Fiorina,0.52,
Jul 1 2015,Carly Fiorina,0.51,
Jul 2 2015,Carly Fiorina,0.53,
Jul 3 2015,Carly Fiorina,0.48,
Jul 4 2015,Carly Fiorina,0.48,
Jul 5 2015,Carly Fiorina,0.48,
Jul 6 2015,Carly Fiorina,0.48,
Jul 7 2015,Carly Fiorina,0.48,
Jul 8 2015,Carly Fiorina,0.49,
Jul 9 2015,Carly Fiorina,0.51,
Jul 10 2015,Carly Fiorina,0.53,
Jul 11 2015,Carly Fiorina,0.54,
Jul 12 2015,Carly Fiorina,0.56,
Jul 13 2015,Carly Fiorina,0.58,
Jul 14 2015,Carly Fiorina,0.77,
Jul 15 2015,Carly Fiorina,0.53,
Jul 16 2015,Carly Fiorina,0.56,
Jul 17 2015,Carly Fiorina,0.59,
Jul 18 2015,Carly Fiorina,0.59,
Jul 19 2015,Carly Fiorina,0.59,
Jul 20 2015,Carly Fiorina,0.59,
Jul 21 2015,Carly Fiorina,0.59,
Jul 22 2015,Carly Fiorina,1.08,
Jul 23 2015,Carly Fiorina,0.57,
Jul 24 2015,Carly Fiorina,0.70,
Jul 25 2015,Carly Fiorina,0.70,
Jul 26 2015,Carly Fiorina,0.68,
Jul 27 2015,Carly Fiorina,0.63,
Jul 28 2015,Carly Fiorina,0.84,
Jul 29 2015,Carly Fiorina,0.61,
Jul 30 2015,Carly Fiorina,0.61,
Jul 31 2015,Carly Fiorina,0.62,
Aug 1 2015,Carly Fiorina,0.62,
Aug 2 2015,Carly Fiorina,0.62,
Aug 3 2015,Carly Fiorina,0.60,
Aug 4 2015,Carly Fiorina,1.50,
Aug 5 2015,Carly Fiorina,1.29,
Aug 6 2015,Carly Fiorina,7.45,
Aug 7 2015,Carly Fiorina,30.78,
Aug 8 2015,Carly Fiorina,15.94,
Aug 9 2015,Carly Fiorina,11.81,
Aug 10 2015,Carly Fiorina,7.80,
Aug 11 2015,Carly Fiorina,4.93,
Aug 12 2015,Carly Fiorina,3.68,
Aug 13 2015,Carly Fiorina,3.52,
Aug 14 2015,Carly Fiorina,3.93,
Aug 15 2015,Carly Fiorina,3.17,
Aug 16 2015,Carly Fiorina,2.39,
Aug 17 2015,Carly Fiorina,2.54,
Aug 18 2015,Carly Fiorina,2.93,
Aug 19 2015,Carly Fiorina,2.88,
Aug 20 2015,Carly Fiorina,1.92,
Aug 21 2015,Carly Fiorina,1.06,
Aug 22 2015,Carly Fiorina,1.12,
Aug 23 2015,Carly Fiorina,1.75,
Aug 24 2015,Carly Fiorina,1.18,
Aug 25 2015,Carly Fiorina,0.95,
Aug 26 2015,Carly Fiorina,0.93,
Aug 27 2015,Carly Fiorina,1.39,
Aug 28 2015,Carly Fiorina,1.64,
Aug 29 2015,Carly Fiorina,1.09,
Aug 30 2015,Carly Fiorina,1.07,
Aug 31 2015,Carly Fiorina,0.99,
Sep 1 2015,Carly Fiorina,1.67,
Sep 2 2015,Carly Fiorina,2.31,
Sep 3 2015,Carly Fiorina,1.79,
Sep 4 2015,Carly Fiorina,1.30,
Sep 5 2015,Carly Fiorina,1.17,
Sep 6 2015,Carly Fiorina,1.58,
Sep 7 2015,Carly Fiorina,1.82,
Sep 8 2015,Carly Fiorina,1.11,
Sep 9 2015,Carly Fiorina,0.86,
Sep 10 2015,Carly Fiorina,11.41,
Sep 11 2015,Carly Fiorina,5.95,
Sep 12 2015,Carly Fiorina,3.88,
Sep 13 2015,Carly Fiorina,2.48,
Sep 14 2015,Carly Fiorina,3.03,
Sep 15 2015,Carly Fiorina,4.01,
Sep 16 2015,Carly Fiorina,6.78,
Sep 17 2015,Carly Fiorina,70.39,
Sep 18 2015,Carly Fiorina,24.24,
Sep 19 2015,Carly Fiorina,12.96,
Sep 20 2015,Carly Fiorina,12.20,
Sep 21 2015,Carly Fiorina,11.37,
Sep 22 2015,Carly Fiorina,12.89,
Sep 23 2015,Carly Fiorina,7.57,
Sep 24 2015,Carly Fiorina,5.90,
Sep 25 2015,Carly Fiorina,4.76,
Sep 26 2015,Carly Fiorina,3.53,
Sep 27 2015,Carly Fiorina,4.53,
Sep 28 2015,Carly Fiorina,4.43,
Sep 29 2015,Carly Fiorina,3.75,
Sep 30 2015,Carly Fiorina,3.03,
Oct 1 2015,Carly Fiorina,2.82,
Oct 2 2015,Carly Fiorina,1.85,
Oct 3 2015,Carly Fiorina,1.42,
Oct 4 2015,Carly Fiorina,1.32,
Oct 5 2015,Carly Fiorina,1.94,
Oct 6 2015,Carly Fiorina,2.06,
Oct 7 2015,Carly Fiorina,1.81,
Oct 8 2015,Carly Fiorina,1.44,
Oct 9 2015,Carly Fiorina,1.13,
Oct 10 2015,Carly Fiorina,1.03,
Oct 11 2015,Carly Fiorina,0.95,
Oct 12 2015,Carly Fiorina,0.99,
Oct 13 2015,Carly Fiorina,1.34,
Oct 14 2015,Carly Fiorina,2.08,
Oct 15 2015,Carly Fiorina,1.32,
Oct 16 2015,Carly Fiorina,1.43,
Oct 17 2015,Carly Fiorina,0.99,
Oct 18 2015,Carly Fiorina,0.82,
Oct 19 2015,Carly Fiorina,0.81,
Oct 20 2015,Carly Fiorina,1.12,
Oct 21 2015,Carly Fiorina,1.01,
Oct 22 2015,Carly Fiorina,0.96,
Oct 23 2015,Carly Fiorina,0.90,
Oct 24 2015,Carly Fiorina,0.70,
Oct 25 2015,Carly Fiorina,0.71,
Oct 26 2015,Carly Fiorina,1.06,
Oct 27 2015,Carly Fiorina,1.22,
Oct 28 2015,Carly Fiorina,1.40,
Oct 29 2015,Carly Fiorina,7.15,
Oct 30 2015,Carly Fiorina,2.73,
Oct 31 2015,Carly Fiorina,1.59,
Nov 1 2015,Carly Fiorina,1.65,
Nov 2 2015,Carly Fiorina,2.29,
Nov 3 2015,Carly Fiorina,2.20,
Nov 4 2015,Carly Fiorina,1.64,
Nov 5 2015,Carly Fiorina,1.27,
Nov 6 2015,Carly Fiorina,4.37,
Nov 7 2015,Carly Fiorina,3.17,
Nov 8 2015,Carly Fiorina,1.50,
Nov 9 2015,Carly Fiorina,1.24,
Nov 10 2015,Carly Fiorina,1.16,
Nov 11 2015,Carly Fiorina,8.13,
Nov 12 2015,Carly Fiorina,2.39,
Nov 13 2015,Carly Fiorina,1.67,
Nov 14 2015,Carly Fiorina,1.21,
Nov 15 2015,Carly Fiorina,0.98,
Nov 16 2015,Carly Fiorina,0.84,
Nov 17 2015,Carly Fiorina,0.76,
Nov 18 2015,Carly Fiorina,0.86,
Nov 19 2015,Carly Fiorina,0.78,
Nov 20 2015,Carly Fiorina,0.65,
Nov 21 2015,Carly Fiorina,0.56,
Nov 22 2015,Carly Fiorina,0.57,
Nov 23 2015,Carly Fiorina,0.66,
Nov 24 2015,Carly Fiorina,0.67,
Nov 25 2015,Carly Fiorina,0.55,
Nov 26 2015,Carly Fiorina,0.59,
Nov 27 2015,Carly Fiorina,0.66,
Nov 28 2015,Carly Fiorina,0.55,
Nov 29 2015,Carly Fiorina,1.31,
Nov 30 2015,Carly Fiorina,1.16,
Dec 1 2015,Carly Fiorina,0.99,
Dec 2 2015,Carly Fiorina,0.87,
Dec 3 2015,Carly Fiorina,0.89,
Dec 4 2015,Carly Fiorina,0.78,
Dec 5 2015,Carly Fiorina,0.58,
Dec 6 2015,Carly Fiorina,0.58,
Dec 7 2015,Carly Fiorina,0.58,
Dec 8 2015,Carly Fiorina,0.87,
Dec 9 2015,Carly Fiorina,0.67,
Dec 10 2015,Carly Fiorina,0.85,
Dec 11 2015,Carly Fiorina,0.86,
Dec 12 2015,Carly Fiorina,0.87,
Dec 13 2015,Carly Fiorina,0.75,
Dec 14 2015,Carly Fiorina,0.73,
Dec 15 2015,Carly Fiorina,0.94,
Dec 16 2015,Carly Fiorina,9.56,
Dec 17 2015,Carly Fiorina,3.26,
Dec 18 2015,Carly Fiorina,1.38,
Dec 19 2015,Carly Fiorina,1.19,
Dec 20 2015,Carly Fiorina,1.42,
Dec 21 2015,Carly Fiorina,1.33,
Dec 22 2015,Carly Fiorina,0.88,
Dec 23 2015,Carly Fiorina,0.92,
Dec 24 2015,Carly Fiorina,0.73,
Dec 25 2015,Carly Fiorina,0.57,
Dec 26 2015,Carly Fiorina,0.57,
Dec 27 2015,Carly Fiorina,0.53,
Dec 28 2015,Carly Fiorina,0.53,
Dec 29 2015,Carly Fiorina,0.53,
Dec 30 2015,Carly Fiorina,0.55,
Dec 31 2015,Carly Fiorina,0.52,
Jan 1 2016,Carly Fiorina,1.50,
Jan 2 2016,Carly Fiorina,2.20,
Jan 3 2016,Carly Fiorina,0.95,
Jan 4 2016,Carly Fiorina,0.83,
Jan 5 2016,Carly Fiorina,0.76,
Jan 6 2016,Carly Fiorina,0.68,
Jan 7 2016,Carly Fiorina,0.85,
Jan 8 2016,Carly Fiorina,0.68,
Jan 9 2016,Carly Fiorina,0.55,
Jan 10 2016,Carly Fiorina,0.55,
Jan 11 2016,Carly Fiorina,0.47,
Jan 12 2016,Carly Fiorina,0.94,
Jan 13 2016,Carly Fiorina,0.67,
Jan 14 2016,Carly Fiorina,1.10,
Jan 15 2016,Carly Fiorina,3.58,
Jan 16 2016,Carly Fiorina,1.50,
Jan 17 2016,Carly Fiorina,0.80,
Jan 18 2016,Carly Fiorina,0.83,
Jan 19 2016,Carly Fiorina,0.74,
Jan 20 2016,Carly Fiorina,0.65,
Jan 21 2016,Carly Fiorina,0.93,
Jan 22 2016,Carly Fiorina,1.14,
Jan 23 2016,Carly Fiorina,0.84,
Jan 24 2016,Carly Fiorina,0.59,
Jan 25 2016,Carly Fiorina,0.62,
Jan 26 2016,Carly Fiorina,1.08,
Jan 27 2016,Carly Fiorina,1.14,
Jan 28 2016,Carly Fiorina,1.27,
Jan 29 2016,Carly Fiorina,3.90,
