date,Candidate,search interest (indexed 1-100),
Jun 4 2015,Jeb Bush,1.41,
Jun 5 2015,Jeb Bush,1.05,
Jun 6 2015,Jeb Bush,0.76,
Jun 7 2015,Jeb Bush,0.69,
Jun 8 2015,Jeb Bush,0.73,
Jun 9 2015,Jeb Bush,1.30,
Jun 10 2015,Jeb Bush,1.87,
Jun 11 2015,Jeb Bush,1.61,
Jun 12 2015,Jeb Bush,1.41,
Jun 13 2015,Jeb Bush,1.53,
Jun 14 2015,Jeb Bush,3.99,
Jun 15 2015,Jeb Bush,18.99,
Jun 16 2015,Jeb Bush,15.87,
Jun 17 2015,Jeb Bush,13.52,
Jun 18 2015,Jeb Bush,7.48,
Jun 19 2015,Jeb Bush,4.42,
Jun 20 2015,Jeb Bush,3.46,
Jun 21 2015,Jeb Bush,2.94,
Jun 22 2015,Jeb Bush,2.24,
Jun 23 2015,Jeb Bush,2.01,
Jun 24 2015,Jeb Bush,1.68,
Jun 25 2015,Jeb Bush,1.72,
Jun 26 2015,Jeb Bush,2.20,
Jun 27 2015,Jeb Bush,1.90,
Jun 28 2015,Jeb Bush,1.61,
Jun 29 2015,Jeb Bush,1.44,
Jun 30 2015,Jeb Bush,2.46,
Jul 1 2015,Jeb Bush,2.54,
Jul 2 2015,Jeb Bush,1.99,
Jul 3 2015,Jeb Bush,1.73,
Jul 4 2015,Jeb Bush,1.67,
Jul 5 2015,Jeb Bush,3.18,
Jul 6 2015,Jeb Bush,3.04,
Jul 7 2015,Jeb Bush,2.69,
Jul 8 2015,Jeb Bush,2.58,
Jul 9 2015,Jeb Bush,5.10,
Jul 10 2015,Jeb Bush,3.59,
Jul 11 2015,Jeb Bush,1.97,
Jul 12 2015,Jeb Bush,1.85,
Jul 13 2015,Jeb Bush,1.80,
Jul 14 2015,Jeb Bush,1.75,
Jul 15 2015,Jeb Bush,1.73,
Jul 16 2015,Jeb Bush,2.06,
Jul 17 2015,Jeb Bush,1.92,
Jul 18 2015,Jeb Bush,1.57,
Jul 19 2015,Jeb Bush,1.55,
Jul 20 2015,Jeb Bush,1.49,
Jul 21 2015,Jeb Bush,1.63,
Jul 22 2015,Jeb Bush,1.38,
Jul 23 2015,Jeb Bush,1.43,
Jul 24 2015,Jeb Bush,1.49,
Jul 25 2015,Jeb Bush,1.27,
Jul 26 2015,Jeb Bush,1.23,
Jul 27 2015,Jeb Bush,1.32,
Jul 28 2015,Jeb Bush,1.96,
Jul 29 2015,Jeb Bush,1.35,
Jul 30 2015,Jeb Bush,1.23,
Jul 31 2015,Jeb Bush,1.59,
