key,value,date
Hillary Clinton,5.11,06/18/15
Hillary Clinton,6.27,06/19/15
Hillary Clinton,4.89,06/20/15
Hillary Clinton,4.14,06/21/15
Hillary Clinton,3.81,06/22/15
Hillary Clinton,4.14,06/23/15
Hillary Clinton,4.36,06/24/15
Hillary Clinton,4.79,06/25/15
Hillary Clinton,5.32,06/26/15
Hillary Clinton,4.78,06/27/15
Hillary Clinton,4.46,06/28/15
Hillary Clinton,4.36,06/29/15
Hillary Clinton,4.8,06/30/15
Hillary Clinton,5.5,07/1/15
Hillary Clinton,5.43,07/2/15
Hillary Clinton,6.59,07/3/15
Hillary Clinton,5.37,07/4/15
Hillary Clinton,6.02,07/5/15
Hillary Clinton,4.98,07/6/15
Hillary Clinton,6.49,07/7/15
Hillary Clinton,7.09,07/8/15
Hillary Clinton,5.89,07/9/15
Hillary Clinton,4.92,07/10/15
Hillary Clinton,4.2,07/11/15
Hillary Clinton,4.49,07/12/15
Hillary Clinton,5.37,07/13/15
Hillary Clinton,5.29,07/14/15
Hillary Clinton,4.38,07/15/15
Hillary Clinton,4.86,07/16/15
Hillary Clinton,4.43,07/17/15
Hillary Clinton,4.8,07/18/15
Hillary Clinton,4.54,07/19/15
Hillary Clinton,4.08,07/20/15
Hillary Clinton,4.38,07/21/15
Hillary Clinton,4.61,07/22/15
Hillary Clinton,4.72,07/23/15
Hillary Clinton,7.39,07/24/15
Hillary Clinton,6.47,07/25/15
Hillary Clinton,6.33,07/26/15
Hillary Clinton,5.61,07/27/15
Hillary Clinton,5.78,07/28/15
Hillary Clinton,5.85,07/29/15
Hillary Clinton,5.56,07/30/15
Hillary Clinton,7.13,07/31/15
Hillary Clinton,6.69,08/1/15
Hillary Clinton,5.92,08/2/15
Hillary Clinton,5.4,08/3/15
Hillary Clinton,5.39,08/4/15
Hillary Clinton,6.21,08/5/15
Hillary Clinton,7.43,08/6/15
Hillary Clinton,15.19,08/7/15
Hillary Clinton,9.23,08/8/15
Hillary Clinton,7.95,08/9/15
Hillary Clinton,8.05,08/10/15
Hillary Clinton,8.68,08/11/15
Hillary Clinton,12.43,08/12/15
Hillary Clinton,11.95,08/13/15
Hillary Clinton,11.05,08/14/15
Hillary Clinton,11.18,08/15/15
Hillary Clinton,9.88,08/16/15
Hillary Clinton,8.93,08/17/15
Hillary Clinton,11.86,08/18/15
Hillary Clinton,15.43,08/19/15
Hillary Clinton,13.58,08/20/15
Hillary Clinton,9.97,08/21/15
Hillary Clinton,9.69,08/22/15
Hillary Clinton,9.07,08/23/15
Hillary Clinton,7.53,08/24/15
Hillary Clinton,7.7,08/25/15
Hillary Clinton,8.64,08/26/15
Hillary Clinton,8.71,08/27/15
Hillary Clinton,9.14,08/28/15
Hillary Clinton,8.17,08/29/15
Hillary Clinton,7.95,08/30/15
Hillary Clinton,7.35,08/31/15
Hillary Clinton,9.05,09/1/15
Hillary Clinton,7.09,09/2/15
Hillary Clinton,7.83,09/3/15
Hillary Clinton,8.97,09/4/15
Hillary Clinton,7.75,09/5/15
Hillary Clinton,7.1,09/6/15
Hillary Clinton,6.9,09/7/15
Hillary Clinton,6.93,09/8/15
Hillary Clinton,9.12,09/9/15
Hillary Clinton,9.06,09/10/15
Hillary Clinton,8.65,09/11/15
Hillary Clinton,7.6,09/12/15
Hillary Clinton,6.82,09/13/15
Hillary Clinton,6.49,09/14/15
Hillary Clinton,7.31,09/15/15
Hillary Clinton,6.67,09/16/15
Hillary Clinton,14.23,09/17/15
Hillary Clinton,10.44,09/18/15
Hillary Clinton,8.08,09/19/15
Hillary Clinton,6.91,09/20/15
Hillary Clinton,7.25,09/21/15
Hillary Clinton,8.3,09/22/15
Hillary Clinton,7.91,09/23/15
Hillary Clinton,6.55,09/24/15
Hillary Clinton,6.48,09/25/15
Hillary Clinton,5.67,09/26/15
Hillary Clinton,6.65,09/27/15
Hillary Clinton,6.13,09/28/15
Hillary Clinton,6.4,09/29/15
Hillary Clinton,6.05,09/30/15
Hillary Clinton,6.77,10/1/15
Hillary Clinton,5.96,10/2/15
Hillary Clinton,5.82,10/3/15
Hillary Clinton,14.8,10/4/15
Hillary Clinton,12.33,10/5/15
Hillary Clinton,9.26,10/6/15
Hillary Clinton,8.55,10/7/15
Hillary Clinton,8.49,10/8/15
Hillary Clinton,6.56,10/9/15
Hillary Clinton,5.79,10/10/15
Hillary Clinton,6.65,10/11/15
Hillary Clinton,6.84,10/12/15
Hillary Clinton,10,10/13/15
Hillary Clinton,37.15,10/14/15
Hillary Clinton,15.21,10/15/15
Hillary Clinton,11.68,10/16/15
Hillary Clinton,9.59,10/17/15
Hillary Clinton,8.88,10/18/15
Hillary Clinton,9.68,10/19/15
Hillary Clinton,13.39,10/20/15
Hillary Clinton,13.48,10/21/15
Hillary Clinton,32.56,10/22/15
Hillary Clinton,34.04,10/23/15
Hillary Clinton,18.75,10/24/15
Hillary Clinton,14.19,10/25/15
Hillary Clinton,12.42,10/26/15
Hillary Clinton,10.44,10/27/15
Hillary Clinton,10.29,10/28/15
Hillary Clinton,10.88,10/29/15
Hillary Clinton,8.65,10/30/15
Hillary Clinton,7.69,10/31/15
Hillary Clinton,6.03,11/1/15
Hillary Clinton,6.4,11/2/15
Hillary Clinton,6.97,11/3/15
Hillary Clinton,6.94,11/4/15
Hillary Clinton,6.97,11/5/15
Hillary Clinton,7.73,11/6/15
Hillary Clinton,8.26,11/7/15
Hillary Clinton,6.67,11/8/15
Hillary Clinton,6.02,11/9/15
Hillary Clinton,6.31,11/10/15
Hillary Clinton,8.14,11/11/15
Hillary Clinton,8.95,11/12/15
Hillary Clinton,7.8,11/13/15
Hillary Clinton,6.56,11/14/15
Hillary Clinton,14.86,11/15/15
Hillary Clinton,7.35,11/16/15
Hillary Clinton,6.46,11/17/15
Hillary Clinton,6.05,11/18/15
Hillary Clinton,7.36,11/19/15
Hillary Clinton,7.07,11/20/15
Hillary Clinton,5.47,11/21/15
Hillary Clinton,4.97,11/22/15
Hillary Clinton,5.52,11/23/15
Hillary Clinton,5.56,11/24/15
Hillary Clinton,4.66,11/25/15
Hillary Clinton,4.31,11/26/15
Hillary Clinton,4.03,11/27/15
Hillary Clinton,3.78,11/28/15
Hillary Clinton,4.23,11/29/15
Hillary Clinton,4.42,11/30/15
Hillary Clinton,5.34,12/1/15
Hillary Clinton,5.92,12/2/15
Hillary Clinton,5.53,12/3/15
Hillary Clinton,5.38,12/4/15
Hillary Clinton,4.92,12/5/15
Hillary Clinton,4.86,12/6/15
Hillary Clinton,5.27,12/7/15
Hillary Clinton,6.4,12/8/15
Hillary Clinton,7.47,12/9/15
Hillary Clinton,7.09,12/10/15
Hillary Clinton,6.7,12/11/15
Hillary Clinton,5.79,12/12/15
Hillary Clinton,5.06,12/13/15
Hillary Clinton,5.51,12/14/15
Hillary Clinton,6.47,12/15/15
Hillary Clinton,9.1,12/16/15
Hillary Clinton,7.26,12/17/15
Hillary Clinton,6.65,12/18/15
Hillary Clinton,7.55,12/19/15
