date,key,value
04/03/16,Hillary Clinton,34.61936783
12/28/14,Lawrence Lessig,0
01/04/15,Lawrence Lessig,0
01/11/15,Lawrence Lessig,0
01/18/15,Lawrence Lessig,0
01/25/15,Lawrence Lessig,0
02/01/15,Lawrence Lessig,0
02/08/15,Lawrence Lessig,0
02/15/15,Lawrence Lessig,0
02/22/15,Lawrence Lessig,0
03/01/15,Lawrence Lessig,0
03/08/15,Lawrence Lessig,0
03/15/15,Lawrence Lessig,0
03/22/15,Lawrence Lessig,0
03/29/15,Lawrence Lessig,0
04/05/15,Lawrence Lessig,0
04/12/15,Lawrence Lessig,0
04/19/15,Lawrence Lessig,0
04/26/15,Lawrence Lessig,0
05/03/15,Lawrence Lessig,0
05/10/15,Lawrence Lessig,0
05/17/15,Lawrence Lessig,0
05/24/15,Lawrence Lessig,0
05/31/15,Lawrence Lessig,0
06/07/15,Lawrence Lessig,0
06/14/15,Lawrence Lessig,0
06/21/15,Lawrence Lessig,0
06/28/15,Lawrence Lessig,0
07/05/15,Lawrence Lessig,0
07/12/15,Lawrence Lessig,0
07/19/15,Lawrence Lessig,0
07/26/15,Lawrence Lessig,0
08/02/15,Lawrence Lessig,0
08/09/15,Lawrence Lessig,0.699723332
08/16/15,Lawrence Lessig,0.366074729
08/23/15,Lawrence Lessig,0.300830193
08/30/15,Lawrence Lessig,0.291092299
09/06/15,Lawrence Lessig,1.0449485
09/13/15,Lawrence Lessig,0.247127076
09/20/15,Lawrence Lessig,0.260506776
09/27/15,Lawrence Lessig,0.341864526
10/04/15,Lawrence Lessig,0.410155536
10/11/15,Lawrence Lessig,0.67599573
10/18/15,Lawrence Lessig,0.480068811
10/25/15,Lawrence Lessig,0.321866947
11/01/15,Lawrence Lessig,0.444032542
11/08/15,Lawrence Lessig,0.129132885
11/15/15,Lawrence Lessig,0
11/22/15,Lawrence Lessig,0
11/29/15,Lawrence Lessig,0
12/06/15,Lawrence Lessig,0
12/13/15,Lawrence Lessig,0
12/20/15,Lawrence Lessig,0
12/27/15,Lawrence Lessig,0
01/03/16,Lawrence Lessig,0
01/10/16,Lawrence Lessig,0
01/17/16,Lawrence Lessig,0
01/24/16,Lawrence Lessig,0
01/31/16,Lawrence Lessig,0
02/07/16,Lawrence Lessig,0.115208686
02/14/16,Lawrence Lessig,0.158693715
02/21/16,Lawrence Lessig,0
02/28/16,Lawrence Lessig,0
