Date,Candidate,Search interest (indexed 1-100)
Jul 10 2015,Bernie Sanders,8.17
Jul 11 2015,Bernie Sanders,7.13
Jul 12 2015,Bernie Sanders,7.66
Jul 13 2015,Bernie Sanders,6.71
Jul 14 2015,Bernie Sanders,6.38
Jul 15 2015,Bernie Sanders,5.88
Jul 16 2015,Bernie Sanders,6.32
Jul 17 2015,Bernie Sanders,5.97
Jul 18 2015,Bernie Sanders,6.94
Jul 19 2015,Bernie Sanders,10.33
Jul 20 2015,Bernie Sanders,8.33
Jul 21 2015,Bernie Sanders,7.32
Jul 22 2015,Bernie Sanders,6.63
Jul 23 2015,Bernie Sanders,5.68
Jul 24 2015,Bernie Sanders,5.77
Jul 25 2015,Bernie Sanders,5.82
Jul 26 2015,Bernie Sanders,7.15
Jul 27 2015,Bernie Sanders,6.35
Jul 28 2015,Bernie Sanders,6.13
Jul 29 2015,Bernie Sanders,7.55
Jul 30 2015,Bernie Sanders,8.79
Jul 31 2015,Bernie Sanders,6.02
Aug 1 2015,Bernie Sanders,5.47
Aug 2 2015,Bernie Sanders,5.88
Aug 3 2015,Bernie Sanders,5.00
Aug 4 2015,Bernie Sanders,5.54
Aug 5 2015,Bernie Sanders,6.36
Aug 6 2015,Bernie Sanders,7.30
Aug 7 2015,Bernie Sanders,14.87
Aug 8 2015,Bernie Sanders,12.02
Aug 9 2015,Bernie Sanders,30.94
Aug 10 2015,Bernie Sanders,29.25
Aug 11 2015,Bernie Sanders,23.67
Aug 12 2015,Bernie Sanders,21.92
Aug 13 2015,Bernie Sanders,17.61
Aug 14 2015,Bernie Sanders,12.73
Aug 15 2015,Bernie Sanders,11.93
Aug 16 2015,Bernie Sanders,12.81
Aug 17 2015,Bernie Sanders,10.54
Aug 18 2015,Bernie Sanders,11.22
Aug 19 2015,Bernie Sanders,10.50
Aug 20 2015,Bernie Sanders,10.20
Aug 21 2015,Bernie Sanders,10.40
Aug 22 2015,Bernie Sanders,11.36
Aug 23 2015,Bernie Sanders,9.87
Aug 24 2015,Bernie Sanders,7.67
Aug 25 2015,Bernie Sanders,8.25
Aug 26 2015,Bernie Sanders,8.29
Aug 27 2015,Bernie Sanders,8.05
Aug 28 2015,Bernie Sanders,8.19
Aug 29 2015,Bernie Sanders,9.71
Aug 30 2015,Bernie Sanders,12.88
Aug 31 2015,Bernie Sanders,10.32
Sep 1 2015,Bernie Sanders,9.76
Sep 2 2015,Bernie Sanders,9.33
Sep 3 2015,Bernie Sanders,8.90
Sep 4 2015,Bernie Sanders,7.88
Sep 5 2015,Bernie Sanders,8.11
Sep 6 2015,Bernie Sanders,10.16
Sep 7 2015,Bernie Sanders,11.69
Sep 8 2015,Bernie Sanders,9.11
Sep 9 2015,Bernie Sanders,7.46
Sep 10 2015,Bernie Sanders,10.63
Sep 11 2015,Bernie Sanders,10.03
Sep 12 2015,Bernie Sanders,10.53
Sep 13 2015,Bernie Sanders,10.64
Sep 14 2015,Bernie Sanders,13.29
Sep 15 2015,Bernie Sanders,16.10
Sep 16 2015,Bernie Sanders,13.15
Sep 17 2015,Bernie Sanders,19.15
Sep 18 2015,Bernie Sanders,15.75
Sep 19 2015,Bernie Sanders,20.91
Sep 20 2015,Bernie Sanders,15.77
Sep 21 2015,Bernie Sanders,13.19
Sep 22 2015,Bernie Sanders,11.47
Sep 23 2015,Bernie Sanders,9.99
Sep 24 2015,Bernie Sanders,8.20
Sep 25 2015,Bernie Sanders,7.82
Sep 26 2015,Bernie Sanders,7.35
Sep 27 2015,Bernie Sanders,7.50
Sep 28 2015,Bernie Sanders,6.84
Sep 29 2015,Bernie Sanders,7.15
Sep 30 2015,Bernie Sanders,6.95
Oct 1 2015,Bernie Sanders,9.37
Oct 2 2015,Bernie Sanders,7.61
Oct 3 2015,Bernie Sanders,8.34
Oct 4 2015,Bernie Sanders,8.66
Oct 5 2015,Bernie Sanders,7.56
Oct 6 2015,Bernie Sanders,7.25
Oct 7 2015,Bernie Sanders,7.77
Oct 8 2015,Bernie Sanders,7.89
Oct 9 2015,Bernie Sanders,7.26
Oct 10 2015,Bernie Sanders,8.04
Oct 11 2015,Bernie Sanders,7.97
Oct 12 2015,Bernie Sanders,8.64
Oct 13 2015,Bernie Sanders,13.58
Oct 14 2015,Bernie Sanders,72.04
Oct 15 2015,Bernie Sanders,27.36
Oct 16 2015,Bernie Sanders,19.45
Oct 17 2015,Bernie Sanders,15.83
Oct 18 2015,Bernie Sanders,27.89
Oct 19 2015,Bernie Sanders,21.60
Oct 20 2015,Bernie Sanders,14.48
Oct 21 2015,Bernie Sanders,12.29
Oct 22 2015,Bernie Sanders,12.25
Oct 23 2015,Bernie Sanders,10.40
Oct 24 2015,Bernie Sanders,9.82
Oct 25 2015,Bernie Sanders,10.19
Oct 26 2015,Bernie Sanders,8.79
Oct 27 2015,Bernie Sanders,9.40
Oct 28 2015,Bernie Sanders,8.51
Oct 29 2015,Bernie Sanders,10.46
Oct 30 2015,Bernie Sanders,8.10
Oct 31 2015,Bernie Sanders,7.69
Nov 1 2015,Bernie Sanders,7.51
Nov 2 2015,Bernie Sanders,7.02
Nov 3 2015,Bernie Sanders,7.86
Nov 4 2015,Bernie Sanders,8.68
Nov 5 2015,Bernie Sanders,9.54
Nov 6 2015,Bernie Sanders,9.38
Nov 7 2015,Bernie Sanders,10.81
Nov 8 2015,Bernie Sanders,12.49
Nov 9 2015,Bernie Sanders,8.61
Nov 10 2015,Bernie Sanders,7.50
Nov 11 2015,Bernie Sanders,8.22
Nov 12 2015,Bernie Sanders,7.73
Nov 13 2015,Bernie Sanders,7.72
Nov 14 2015,Bernie Sanders,7.10
Nov 15 2015,Bernie Sanders,21.21
Nov 16 2015,Bernie Sanders,9.34
Nov 17 2015,Bernie Sanders,8.16
Nov 18 2015,Bernie Sanders,7.21
Nov 19 2015,Bernie Sanders,9.18
Nov 20 2015,Bernie Sanders,8.48
Nov 21 2015,Bernie Sanders,6.72
Nov 22 2015,Bernie Sanders,5.85
Nov 23 2015,Bernie Sanders,6.61
Nov 24 2015,Bernie Sanders,8.76
Nov 25 2015,Bernie Sanders,6.52
Nov 26 2015,Bernie Sanders,6.38
Nov 27 2015,Bernie Sanders,5.32
Nov 28 2015,Bernie Sanders,5.04
Nov 29 2015,Bernie Sanders,6.21
Nov 30 2015,Bernie Sanders,4.99
Dec 1 2015,Bernie Sanders,5.58
Dec 2 2015,Bernie Sanders,5.70
Dec 3 2015,Bernie Sanders,5.70
Dec 4 2015,Bernie Sanders,5.51
Dec 5 2015,Bernie Sanders,5.12
Dec 6 2015,Bernie Sanders,5.43
Dec 7 2015,Bernie Sanders,6.21
Dec 8 2015,Bernie Sanders,7.83
Dec 9 2015,Bernie Sanders,10.93
Dec 10 2015,Bernie Sanders,9.41
Dec 11 2015,Bernie Sanders,7.61
Dec 12 2015,Bernie Sanders,7.12
Dec 13 2015,Bernie Sanders,6.73
Dec 14 2015,Bernie Sanders,6.39
Dec 15 2015,Bernie Sanders,7.25
Dec 16 2015,Bernie Sanders,10.47
Dec 17 2015,Bernie Sanders,9.30
Dec 18 2015,Bernie Sanders,16.94
Dec 19 2015,Bernie Sanders,17.03
Dec 20 2015,Bernie Sanders,28.86
Dec 21 2015,Bernie Sanders,10.66
Dec 22 2015,Bernie Sanders,9.26
Dec 23 2015,Bernie Sanders,9.85
Dec 24 2015,Bernie Sanders,9.10
Dec 25 2015,Bernie Sanders,7.68
Dec 26 2015,Bernie Sanders,6.90
Dec 27 2015,Bernie Sanders,7.80
Dec 28 2015,Bernie Sanders,7.50
Dec 29 2015,Bernie Sanders,7.33
Dec 30 2015,Bernie Sanders,7.47
Dec 31 2015,Bernie Sanders,7.34
Jan 1 2016,Bernie Sanders,7.37
Jan 2 2016,Bernie Sanders,7.70
Jan 3 2016,Bernie Sanders,8.59
Jan 4 2016,Bernie Sanders,6.91
Jan 5 2016,Bernie Sanders,8.03
Jan 6 2016,Bernie Sanders,9.20
Jan 7 2016,Bernie Sanders,8.18
Jan 8 2016,Bernie Sanders,9.05
Jan 9 2016,Bernie Sanders,8.97
Jan 10 2016,Bernie Sanders,9.87
Jan 11 2016,Bernie Sanders,10.94
Jan 12 2016,Bernie Sanders,15.73
Jan 13 2016,Bernie Sanders,20.70
Jan 14 2016,Bernie Sanders,16.13
Jan 15 2016,Bernie Sanders,18.22
Jan 16 2016,Bernie Sanders,16.00
Jan 17 2016,Bernie Sanders,18.66
Jan 18 2016,Bernie Sanders,47.08
Jan 19 2016,Bernie Sanders,23.33
Jan 20 2016,Bernie Sanders,22.28
Jan 21 2016,Bernie Sanders,21.70
Jan 22 2016,Bernie Sanders,24.23
Jan 23 2016,Bernie Sanders,21.97
Jan 24 2016,Bernie Sanders,21.01
Jan 25 2016,Bernie Sanders,19.40
Jan 26 2016,Bernie Sanders,31.66
Jan 27 2016,Bernie Sanders,25.74
Jan 28 2016,Bernie Sanders,25.31
Jan 29 2016,Bernie Sanders,24.48
Jan 30 2016,Bernie Sanders,25.29
Jan 31 2016,Bernie Sanders,28.70
Feb 1 2016,Bernie Sanders,32.73
Feb 2 2016,Bernie Sanders,86.52
Feb 3 2016,Bernie Sanders,38.90
Feb 4 2016,Bernie Sanders,41.47
Feb 5 2016,Bernie Sanders,47.97
Feb 6 2016,Bernie Sanders,34.88
Feb 7 2016,Bernie Sanders,50.00
Feb 8 2016,Bernie Sanders,31.02
Feb 9 2016,Bernie Sanders,33.96
Feb 10 2016,Bernie Sanders,100.00
Feb 11 2016,Bernie Sanders,52.95
Feb 12 2016,Bernie Sanders,61.25
Feb 13 2016,Bernie Sanders,38.82
Feb 14 2016,Bernie Sanders,30.97
Feb 15 2016,Bernie Sanders,25.44
Feb 16 2016,Bernie Sanders,26.35
Feb 17 2016,Bernie Sanders,27.30
Feb 18 2016,Bernie Sanders,26.42
Feb 19 2016,Bernie Sanders,30.07
Feb 20 2016,Bernie Sanders,37.51
Feb 21 2016,Bernie Sanders,42.14
Feb 22 2016,Bernie Sanders,28.57
Feb 23 2016,Bernie Sanders,26.48
Feb 24 2016,Bernie Sanders,31.76
Feb 25 2016,Bernie Sanders,28.28
Feb 26 2016,Bernie Sanders,28.99
Feb 27 2016,Bernie Sanders,30.48
Feb 28 2016,Bernie Sanders,37.31
Feb 29 2016,Bernie Sanders,29.18
Mar 1 2016,Bernie Sanders,46.94
Mar 2 2016,Bernie Sanders,69.04
Mar 3 2016,Bernie Sanders,36.12
Mar 4 2016,Bernie Sanders,33.32
Mar 5 2016,Bernie Sanders,30.35
Mar 6 2016,Bernie Sanders,45.29
Mar 7 2016,Bernie Sanders,52.25
Mar 8 2016,Bernie Sanders,35.90
Mar 9 2016,Bernie Sanders,62.19
Mar 10 2016,Bernie Sanders,48.39
Mar 11 2016,Bernie Sanders,34.91
Mar 12 2016,Bernie Sanders,41.93
Mar 13 2016,Bernie Sanders,44.49
Mar 14 2016,Bernie Sanders,44.35
Mar 15 2016,Bernie Sanders,52.66
Mar 16 2016,Bernie Sanders,62.98
Mar 17 2016,Bernie Sanders,28.91
Mar 18 2016,Bernie Sanders,29.29
Mar 19 2016,Bernie Sanders,25.93
Mar 20 2016,Bernie Sanders,26.02
Mar 21 2016,Bernie Sanders,24.72
Jan 1 2015,Martin O'Malley,0.00
Jan 2 2015,Martin O'Malley,0.00
Jan 3 2015,Martin O'Malley,0.00
Jan 4 2015,Martin O'Malley,0.00
Jan 5 2015,Martin O'Malley,0.00
Jan 6 2015,Martin O'Malley,0.00
Jan 7 2015,Martin O'Malley,0.00
Jan 8 2015,Martin O'Malley,0.00
Jan 9 2015,Martin O'Malley,0.00
Jan 10 2015,Martin O'Malley,0.00
Jan 11 2015,Martin O'Malley,0.00
Jan 12 2015,Martin O'Malley,0.00
Jan 13 2015,Martin O'Malley,0.00
Jan 14 2015,Martin O'Malley,0.00
Jan 15 2015,Martin O'Malley,0.00
Jan 16 2015,Martin O'Malley,0.00
Jan 17 2015,Martin O'Malley,0.00
Jan 18 2015,Martin O'Malley,0.00
Jan 19 2015,Martin O'Malley,0.00
Jan 20 2015,Martin O'Malley,0.00
Jan 21 2015,Martin O'Malley,0.00
Jan 22 2015,Martin O'Malley,0.00
Jan 23 2015,Martin O'Malley,0.00
Jan 24 2015,Martin O'Malley,0.00
Jan 25 2015,Martin O'Malley,0.00
Jan 26 2015,Martin O'Malley,0.00
Jan 27 2015,Martin O'Malley,0.00
Jan 28 2015,Martin O'Malley,0.00
Jan 29 2015,Martin O'Malley,0.00
Jan 30 2015,Martin O'Malley,0.00
Jan 31 2015,Martin O'Malley,0.00
Feb 1 2015,Martin O'Malley,0.00
Feb 2 2015,Martin O'Malley,0.00
Feb 3 2015,Martin O'Malley,0.00
Feb 4 2015,Martin O'Malley,0.00
Feb 5 2015,Martin O'Malley,0.00
Feb 6 2015,Martin O'Malley,0.00
Feb 7 2015,Martin O'Malley,0.00
Feb 8 2015,Martin O'Malley,0.00
Feb 9 2015,Martin O'Malley,0.00
Feb 10 2015,Martin O'Malley,0.00
Feb 11 2015,Martin O'Malley,0.00
Feb 12 2015,Martin O'Malley,0.00
Feb 13 2015,Martin O'Malley,0.00
Feb 14 2015,Martin O'Malley,0.00
Feb 15 2015,Martin O'Malley,0.00
Feb 16 2015,Martin O'Malley,0.00
Feb 17 2015,Martin O'Malley,0.00
Feb 18 2015,Martin O'Malley,0.00
Feb 19 2015,Martin O'Malley,0.00
Feb 20 2015,Martin O'Malley,0.00
Feb 21 2015,Martin O'Malley,0.00
Feb 22 2015,Martin O'Malley,0.00
Feb 23 2015,Martin O'Malley,0.00
Feb 24 2015,Martin O'Malley,0.00
Feb 25 2015,Martin O'Malley,0.00
Feb 26 2015,Martin O'Malley,0.00
Feb 27 2015,Martin O'Malley,0.00
Feb 28 2015,Martin O'Malley,0.00
Mar 1 2015,Martin O'Malley,0.00
Mar 2 2015,Martin O'Malley,0.00
Mar 3 2015,Martin O'Malley,0.00
Mar 4 2015,Martin O'Malley,0.00
Mar 5 2015,Martin O'Malley,0.00
Mar 6 2015,Martin O'Malley,0.00
Mar 7 2015,Martin O'Malley,0.00
Mar 8 2015,Martin O'Malley,0.00
Mar 9 2015,Martin O'Malley,0.00
Mar 10 2015,Martin O'Malley,0.00
Mar 11 2015,Martin O'Malley,0.00
Mar 12 2015,Martin O'Malley,0.00
Mar 13 2015,Martin O'Malley,0.00
Mar 14 2015,Martin O'Malley,0.00
Mar 15 2015,Martin O'Malley,0.00
Mar 16 2015,Martin O'Malley,0.00
Mar 17 2015,Martin O'Malley,0.00
Mar 18 2015,Martin O'Malley,0.00
Mar 19 2015,Martin O'Malley,0.00
Mar 20 2015,Martin O'Malley,0.00
Mar 21 2015,Martin O'Malley,0.00
Mar 22 2015,Martin O'Malley,0.00
Mar 23 2015,Martin O'Malley,0.00
Mar 24 2015,Martin O'Malley,0.00
Mar 25 2015,Martin O'Malley,0.00
Mar 26 2015,Martin O'Malley,0.00
Mar 27 2015,Martin O'Malley,0.00
Mar 28 2015,Martin O'Malley,0.00
Mar 29 2015,Martin O'Malley,0.00
Mar 30 2015,Martin O'Malley,0.00
Mar 31 2015,Martin O'Malley,0.00
Apr 1 2015,Martin O'Malley,0.00
Apr 2 2015,Martin O'Malley,0.00
Apr 3 2015,Martin O'Malley,0.00
Apr 4 2015,Martin O'Malley,0.00
Apr 5 2015,Martin O'Malley,0.00
Apr 6 2015,Martin O'Malley,0.00
Apr 7 2015,Martin O'Malley,0.00
Apr 8 2015,Martin O'Malley,0.00
Apr 9 2015,Martin O'Malley,0.00
Apr 10 2015,Martin O'Malley,0.00
Apr 11 2015,Martin O'Malley,0.00
Apr 12 2015,Martin O'Malley,0.00
Apr 13 2015,Martin O'Malley,0.00
Apr 14 2015,Martin O'Malley,0.00
Apr 15 2015,Martin O'Malley,0.00
Apr 16 2015,Martin O'Malley,0.00
Apr 17 2015,Martin O'Malley,0.00
Apr 18 2015,Martin O'Malley,0.00
Apr 19 2015,Martin O'Malley,0.00
Apr 20 2015,Martin O'Malley,0.00
Apr 21 2015,Martin O'Malley,0.00
Apr 22 2015,Martin O'Malley,0.00
Apr 23 2015,Martin O'Malley,0.00
Apr 24 2015,Martin O'Malley,0.00
Apr 25 2015,Martin O'Malley,0.00
Apr 26 2015,Martin O'Malley,0.00
Apr 27 2015,Martin O'Malley,0.00
Apr 28 2015,Martin O'Malley,0.43
Apr 29 2015,Martin O'Malley,0.00
Apr 30 2015,Martin O'Malley,0.00
May 1 2015,Martin O'Malley,0.00
May 2 2015,Martin O'Malley,0.00
May 3 2015,Martin O'Malley,0.00
May 4 2015,Martin O'Malley,0.00
May 5 2015,Martin O'Malley,0.00
May 6 2015,Martin O'Malley,0.00
May 7 2015,Martin O'Malley,0.00
May 8 2015,Martin O'Malley,0.00
May 9 2015,Martin O'Malley,0.00
May 10 2015,Martin O'Malley,0.00
May 11 2015,Martin O'Malley,0.00
May 12 2015,Martin O'Malley,0.00
May 13 2015,Martin O'Malley,0.00
May 14 2015,Martin O'Malley,0.00
May 15 2015,Martin O'Malley,0.00
May 16 2015,Martin O'Malley,0.00
May 17 2015,Martin O'Malley,0.00
May 18 2015,Martin O'Malley,0.00
May 19 2015,Martin O'Malley,0.00
May 20 2015,Martin O'Malley,0.00
May 21 2015,Martin O'Malley,0.00
May 22 2015,Martin O'Malley,0.00
May 23 2015,Martin O'Malley,0.00
May 24 2015,Martin O'Malley,0.00
May 25 2015,Martin O'Malley,0.00
May 26 2015,Martin O'Malley,0.00
May 27 2015,Martin O'Malley,0.00
May 28 2015,Martin O'Malley,0.00
May 29 2015,Martin O'Malley,0.00
May 30 2015,Martin O'Malley,1.23
May 31 2015,Martin O'Malley,0.79
Jun 1 2015,Martin O'Malley,0.51
Jun 2 2015,Martin O'Malley,0.00
Jun 3 2015,Martin O'Malley,0.00
Jun 4 2015,Martin O'Malley,0.00
Jun 5 2015,Martin O'Malley,0.00
Jun 6 2015,Martin O'Malley,0.00
Jun 7 2015,Martin O'Malley,0.00
Jun 8 2015,Martin O'Malley,0.00
Jun 9 2015,Martin O'Malley,0.00
Jun 10 2015,Martin O'Malley,0.00
Jun 11 2015,Martin O'Malley,0.00
Jun 12 2015,Martin O'Malley,0.00
Jun 13 2015,Martin O'Malley,0.00
Jun 14 2015,Martin O'Malley,0.00
Jun 15 2015,Martin O'Malley,0.00
Jun 16 2015,Martin O'Malley,0.00
Jun 17 2015,Martin O'Malley,0.00
Jun 18 2015,Martin O'Malley,0.00
Jun 19 2015,Martin O'Malley,0.00
Jun 20 2015,Martin O'Malley,0.00
Jun 21 2015,Martin O'Malley,0.00
Jun 22 2015,Martin O'Malley,0.00
Jun 23 2015,Martin O'Malley,0.00
Jun 24 2015,Martin O'Malley,0.00
Jun 25 2015,Martin O'Malley,0.00
Jun 26 2015,Martin O'Malley,0.00
Jun 27 2015,Martin O'Malley,0.00
Jun 28 2015,Martin O'Malley,0.00
Jun 29 2015,Martin O'Malley,0.00
Jun 30 2015,Martin O'Malley,0.00
Jul 1 2015,Martin O'Malley,0.00
Jul 2 2015,Martin O'Malley,0.00
Jul 3 2015,Martin O'Malley,0.00
Jul 4 2015,Martin O'Malley,0.00
Jul 5 2015,Martin O'Malley,0.00
Jul 6 2015,Martin O'Malley,0.00
Jul 7 2015,Martin O'Malley,0.00
Jul 8 2015,Martin O'Malley,0.00
Jul 9 2015,Martin O'Malley,0.00
Jul 10 2015,Martin O'Malley,0.00
Jul 11 2015,Martin O'Malley,0.00
Jul 12 2015,Martin O'Malley,0.00
Jul 13 2015,Martin O'Malley,0.00
Jul 14 2015,Martin O'Malley,0.00
Jul 15 2015,Martin O'Malley,0.00
Jul 16 2015,Martin O'Malley,0.00
Jul 17 2015,Martin O'Malley,0.00
Jul 18 2015,Martin O'Malley,0.00
Jul 19 2015,Martin O'Malley,0.00
Jul 20 2015,Martin O'Malley,0.00
Jul 21 2015,Martin O'Malley,0.00
Jul 22 2015,Martin O'Malley,0.00
Jul 23 2015,Martin O'Malley,0.00
Jul 24 2015,Martin O'Malley,0.00
Jul 25 2015,Martin O'Malley,0.00
Jul 26 2015,Martin O'Malley,0.00
Jul 27 2015,Martin O'Malley,0.00
Jul 28 2015,Martin O'Malley,0.00
Jul 29 2015,Martin O'Malley,0.00
Jul 30 2015,Martin O'Malley,0.00
Jul 31 2015,Martin O'Malley,0.00
Aug 1 2015,Martin O'Malley,0.00
Aug 2 2015,Martin O'Malley,0.00
Aug 3 2015,Martin O'Malley,0.00
Aug 4 2015,Martin O'Malley,0.00
Aug 5 2015,Martin O'Malley,0.00
Aug 6 2015,Martin O'Malley,0.00
Aug 7 2015,Martin O'Malley,0.00
Aug 8 2015,Martin O'Malley,0.00
Aug 9 2015,Martin O'Malley,0.00
Aug 10 2015,Martin O'Malley,0.00
Aug 11 2015,Martin O'Malley,0.00
Aug 12 2015,Martin O'Malley,0.00
Aug 13 2015,Martin O'Malley,0.00
Aug 14 2015,Martin O'Malley,0.00
Aug 15 2015,Martin O'Malley,0.00
Aug 16 2015,Martin O'Malley,0.00
Aug 17 2015,Martin O'Malley,0.00
Aug 18 2015,Martin O'Malley,0.00
Aug 19 2015,Martin O'Malley,0.00
Aug 20 2015,Martin O'Malley,0.00
Aug 21 2015,Martin O'Malley,0.00
Aug 22 2015,Martin O'Malley,0.00
Aug 23 2015,Martin O'Malley,0.00
Aug 24 2015,Martin O'Malley,0.00
Aug 25 2015,Martin O'Malley,0.00
Aug 26 2015,Martin O'Malley,0.00
Aug 27 2015,Martin O'Malley,0.00
Aug 28 2015,Martin O'Malley,0.00
Aug 29 2015,Martin O'Malley,0.00
Aug 30 2015,Martin O'Malley,0.00
Aug 31 2015,Martin O'Malley,0.00
Sep 1 2015,Martin O'Malley,0.00
Sep 2 2015,Martin O'Malley,0.00
Sep 3 2015,Martin O'Malley,0.00
Sep 4 2015,Martin O'Malley,0.00
Sep 5 2015,Martin O'Malley,0.00
Sep 6 2015,Martin O'Malley,0.00
Sep 7 2015,Martin O'Malley,0.00
Sep 8 2015,Martin O'Malley,0.00
Sep 9 2015,Martin O'Malley,0.00
Sep 10 2015,Martin O'Malley,0.00
Sep 11 2015,Martin O'Malley,0.00
Sep 12 2015,Martin O'Malley,0.00
Sep 13 2015,Martin O'Malley,0.00
Sep 14 2015,Martin O'Malley,0.00
Sep 15 2015,Martin O'Malley,0.00
Sep 16 2015,Martin O'Malley,0.00
Sep 17 2015,Martin O'Malley,0.00
Sep 18 2015,Martin O'Malley,0.00
Sep 19 2015,Martin O'Malley,0.00
Sep 20 2015,Martin O'Malley,0.00
Sep 21 2015,Martin O'Malley,0.00
Sep 22 2015,Martin O'Malley,0.00
Sep 23 2015,Martin O'Malley,0.00
Sep 24 2015,Martin O'Malley,0.00
Sep 25 2015,Martin O'Malley,0.00
Sep 26 2015,Martin O'Malley,0.00
Sep 27 2015,Martin O'Malley,0.00
Sep 28 2015,Martin O'Malley,0.00
Sep 29 2015,Martin O'Malley,0.00
Sep 30 2015,Martin O'Malley,0.00
Oct 1 2015,Martin O'Malley,0.00
Oct 2 2015,Martin O'Malley,0.00
Oct 3 2015,Martin O'Malley,0.00
Oct 4 2015,Martin O'Malley,0.00
Oct 5 2015,Martin O'Malley,0.00
Oct 6 2015,Martin O'Malley,0.00
Oct 7 2015,Martin O'Malley,0.00
Oct 8 2015,Martin O'Malley,0.00
Oct 9 2015,Martin O'Malley,0.00
Oct 10 2015,Martin O'Malley,0.00
Oct 11 2015,Martin O'Malley,0.00
Oct 12 2015,Martin O'Malley,0.00
Oct 13 2015,Martin O'Malley,0.43
Oct 14 2015,Martin O'Malley,3.65
Oct 15 2015,Martin O'Malley,0.65
Oct 16 2015,Martin O'Malley,0.00
Oct 17 2015,Martin O'Malley,0.00
Oct 18 2015,Martin O'Malley,0.00
Oct 19 2015,Martin O'Malley,0.00
Oct 20 2015,Martin O'Malley,0.00
Oct 21 2015,Martin O'Malley,0.00
Oct 22 2015,Martin O'Malley,0.00
Oct 23 2015,Martin O'Malley,0.00
Oct 24 2015,Martin O'Malley,0.00
Oct 25 2015,Martin O'Malley,0.00
Oct 26 2015,Martin O'Malley,0.00
Oct 27 2015,Martin O'Malley,0.00
Oct 28 2015,Martin O'Malley,0.00
Oct 29 2015,Martin O'Malley,0.00
Oct 30 2015,Martin O'Malley,0.00
Oct 31 2015,Martin O'Malley,0.00
Nov 1 2015,Martin O'Malley,0.00
Nov 2 2015,Martin O'Malley,0.00
Nov 3 2015,Martin O'Malley,0.00
Nov 4 2015,Martin O'Malley,0.00
Nov 5 2015,Martin O'Malley,0.00
Nov 6 2015,Martin O'Malley,0.00
Nov 7 2015,Martin O'Malley,0.00
Nov 8 2015,Martin O'Malley,0.00
Nov 9 2015,Martin O'Malley,0.00
Nov 10 2015,Martin O'Malley,0.00
Nov 11 2015,Martin O'Malley,0.00
Nov 12 2015,Martin O'Malley,0.00
Nov 13 2015,Martin O'Malley,0.00
Nov 14 2015,Martin O'Malley,0.00
Nov 15 2015,Martin O'Malley,1.75
Nov 16 2015,Martin O'Malley,0.00
Nov 17 2015,Martin O'Malley,0.00
Nov 18 2015,Martin O'Malley,0.00
Nov 19 2015,Martin O'Malley,0.00
Nov 20 2015,Martin O'Malley,0.00
Nov 21 2015,Martin O'Malley,0.00
Nov 22 2015,Martin O'Malley,0.00
Nov 23 2015,Martin O'Malley,0.00
Nov 24 2015,Martin O'Malley,0.00
Nov 25 2015,Martin O'Malley,0.00
Nov 26 2015,Martin O'Malley,0.00
Nov 27 2015,Martin O'Malley,0.00
Nov 28 2015,Martin O'Malley,0.00
Nov 29 2015,Martin O'Malley,0.00
Nov 30 2015,Martin O'Malley,0.00
Dec 1 2015,Martin O'Malley,0.00
Dec 2 2015,Martin O'Malley,0.00
Dec 3 2015,Martin O'Malley,0.00
Dec 4 2015,Martin O'Malley,0.00
Dec 5 2015,Martin O'Malley,0.00
Dec 6 2015,Martin O'Malley,0.00
Dec 7 2015,Martin O'Malley,0.00
Dec 8 2015,Martin O'Malley,0.00
Dec 9 2015,Martin O'Malley,0.00
Dec 10 2015,Martin O'Malley,0.00
Dec 11 2015,Martin O'Malley,0.00
Dec 12 2015,Martin O'Malley,0.00
Dec 13 2015,Martin O'Malley,0.00
Dec 14 2015,Martin O'Malley,0.00
Dec 15 2015,Martin O'Malley,0.00
Dec 16 2015,Martin O'Malley,0.00
Dec 17 2015,Martin O'Malley,0.00
Dec 18 2015,Martin O'Malley,0.00
Dec 19 2015,Martin O'Malley,0.00
Dec 20 2015,Martin O'Malley,2.08
Dec 21 2015,Martin O'Malley,0.00
Dec 22 2015,Martin O'Malley,0.00
Dec 23 2015,Martin O'Malley,0.00
Dec 24 2015,Martin O'Malley,0.00
Dec 25 2015,Martin O'Malley,0.00
Dec 26 2015,Martin O'Malley,0.00
Dec 27 2015,Martin O'Malley,0.00
Dec 28 2015,Martin O'Malley,0.00
Dec 29 2015,Martin O'Malley,0.00
Dec 30 2015,Martin O'Malley,0.00
Dec 31 2015,Martin O'Malley,0.00
Jan 1 2016,Martin O'Malley,0.00
Jan 2 2016,Martin O'Malley,0.00
Jan 3 2016,Martin O'Malley,0.00
Jan 4 2016,Martin O'Malley,0.00
Jan 5 2016,Martin O'Malley,0.00
Jan 6 2016,Martin O'Malley,0.00
Jan 7 2016,Martin O'Malley,0.00
Jan 8 2016,Martin O'Malley,0.00
Jan 9 2016,Martin O'Malley,0.00
Jan 10 2016,Martin O'Malley,0.00
Jan 11 2016,Martin O'Malley,0.00
Jan 12 2016,Martin O'Malley,0.00
Jan 13 2016,Martin O'Malley,0.00
Jan 14 2016,Martin O'Malley,0.00
Jan 15 2016,Martin O'Malley,0.00
Jan 16 2016,Martin O'Malley,0.00
Jan 17 2016,Martin O'Malley,0.00
